ProbeID,GeneSymbol,EntrezGene,UniGene,Cytoband,logFC.MycEffect,MycEffect.adjustp, Control 1 , Control 2 , Control 3 , Control 4 , Myc 1 , Myc 2 , Myc 3 , Myc 4 
A_52_P571350,H19,14955,Mm.14802,mm|7qF5,8.57,0,6.728,6.549,6.559,6.986,16.705,16.778,17.191,17.115
A_51_P494342,Bex4,406217,Mm.336245,mm|XqF1,7.32,0,8.173,7.519,7.401,7.734,16.829,16.79,16.568,16.764
A_51_P237668,Bex2,12069,Mm.94160,mm|XqF1,6.36,0,6.02,6.186,6.105,6.124,14.615,14.826,14.192,14.764
A_51_P516826,Igf2,16002,Mm.3862,mm|7qF5,6.04,0,7.421,7.434,7.459,7.475,17.449,17.308,17.389,17.459
A_51_P279154,Bex1,19716,Mm.422943,mm|XqF1,5.8,0,5.912,6.01,5.845,5.935,14.177,14.615,14.294,14.405
A_51_P479321,Acss1,68738,Mm.7044,mm|2qG3,5.79,0,6.788,7.244,6.93,7.115,14.242,13.845,14.301,14.712
A_51_P411345,Mogat2,233549,Mm.208030,mm|7qE1,5.55,0,6.834,7.053,7.083,7.165,12.819,13.557,12.834,13.298
A_51_P510891,Afp,11576,Mm.358570,mm|5qE2,5.46,0,7.814,7.662,7.574,7.688,18.326,18.233,18.326,18.321
A_52_P648601,Dusp9,75590,Mm.16479,mm|XqA7.3,5.45,0,7.352,7.265,7.582,7.44,13.996,13.659,13.875,13.745
A_52_P162298,1810015A11Rik,69101,Mm.425963,mm|16qA3,5.42,0,6.436,6.503,6.791,6.57,14.566,13.877,14.349,14.091
A_51_P472217,2010317E24Rik,72080,Mm.250293,mm|2qA3,5.27,0,7.054,6.878,7.083,7.077,13.43,13.02,12.947,12.981
A_51_P258176,Tmed6,66269,Mm.23032,mm|8qD3,5.15,0,6.534,6.38,6.492,6.309,12.228,12.513,12.747,12.68
A_51_P317427,Psat1,107272,Mm.289936,mm|19qA,5.02,0,7.384,7.311,7.447,7.521,14.432,14.142,14.888,14.231
A_51_P230103,Birc5,11799,Mm.8552,mm|11qE2,4.96,0,8.788,8.718,8.986,9.313,15.241,14.993,15.046,15.61
A_51_P360492,Mcm6,17219,Mm.4933,mm|1qE3,4.88,0,8.766,9.059,8.699,8.796,15.115,15.211,15.668,15.538
A_51_P317214,Gloxd1,242642,Mm.279897,mm|4qD1,4.74,0,6.305,6.596,6.53,6.45,12.051,11.314,11.294,11.259
A_51_P343350,Amn,93835,Mm.197639,mm|12qF1,4.73,0,6.121,6.139,6.156,6.096,12.881,12.411,12.3,12.427
A_52_P255959,Gm288,239083,Mm.343880,mm|14qC1,4.69,0,6.614,7.221,7.374,7.182,11.739,12.095,11.864,11.736
