Gene,Log2FoldChange,pvalue
NIFK,0.64,2.62E-17
BYSL,0.63,1.35E-14
DIMT1,0.56,1.26E-13
RPL7,0.96,2.05E-13
RRS1,0.9,8.97E-13
WDR43,0.56,1.10E-12
NUDCD1,0.83,1.52E-12
LYAR,0.69,1.53E-12
EIF3E,0.9,1.59E-12
NCL,0.48,3.27E-12
BZW2,0.76,3.57E-12
E2F5,1.36,3.93E-12
PABPC1,0.99,4.23E-12
NOB1,0.62,8.31E-12
BOP1,1.39,9.14E-12
EIF3H,0.78,1.25E-11
GNL3,0.61,2.50E-11
TWNK,0.74,2.70E-11
POLR1B,0.47,8.38E-11
DDX18,0.39,8.88E-11
PNO1,0.44,1.45E-10
CDK6,1.15,2.27E-10
NOLC1,0.5,2.41E-10
RPUSD4,0.44,3.46E-10
WDR12,0.52,4.07E-10
DCAF13,0.77,4.69E-10
CCT2,0.49,6.45E-10
SLC25A32,0.52,1.27E-09
PABPC3,1.05,1.71E-09
MYBBP1A,0.58,1.94E-09
RIPK2,0.85,2.10E-09
NLE1,0.77,2.23E-09
TATDN1,0.65,2.36E-09
NOP2,0.58,2.37E-09
RIOK1,0.53,2.55E-09
CEBPZ,0.31,2.70E-09
EEF1B2,0.62,2.82E-09
PUM3,0.55,3.32E-09
IPO4,0.52,3.32E-09
PAK1IP1,0.45,3.37E-09
NOP16,0.67,3.48E-09
PPA1,0.5,3.60E-09
RRP12,0.63,3.79E-09
DNAJC2,0.44,4.10E-09
MED30,0.62,4.74E-09
ATIC,0.53,6.44E-09
SSB,0.45,7.23E-09
PABPC4,0.51,8.25E-09
PVT1,1.29,1.45E-08
CCT4,0.43,1.47E-08
NPM1,0.65,1.56E-08
NOP56,0.7,1.56E-08
NOP58,0.47,1.66E-08
MAP3K5,-1.36,1.68E-08
SINHCAF,0.89,1.83E-08
STEAP1,1.45,2.15E-08
KIAA1549,1.35,2.25E-08
DDX31,0.41,2.25E-08
NPM3,0.94,2.44E-08
NWD2,-1.42,2.47E-08
GCFC2,0.39,2.93E-08
RPL5,0.58,2.99E-08
WDR3,0.59,3.14E-08
ZHX2,0.57,3.18E-08
PUS7,0.58,3.60E-08
UTP23,0.49,3.94E-08
LINC00593,-0.5,3.94E-08
TBC1D24,-0.65,5.01E-08
PDIK1L,-0.49,5.13E-08
ZFAND1,0.49,5.39E-08
IAPP,-0.87,5.44E-08
RSL1D1,0.39,6.56E-08
INTS13,0.53,6.90E-08
NUFIP1,0.42,8.08E-08
POLR1G,0.58,8.18E-08
PDCD11,0.44,8.72E-08
BTF3,0.43,8.90E-08
CCT7,0.38,9.15E-08
PPRC1,0.51,9.51E-08
MCF2L2,-1.11,9.77E-08
NOP14,0.33,1.01E-07
EIF4B,0.47,1.03E-07
IMPDH2,0.63,1.12E-07
PNMT,-0.92,1.38E-07
EIF3D,0.46,1.40E-07
BMP2,1,1.50E-07
CLEC16A,-0.56,1.54E-07
RPL7A,0.58,1.57E-07
DARS1,0.34,1.62E-07
TOP1MT,0.68,1.94E-07
HSPD1,0.47,1.95E-07
EEF1A1P9,0.54,1.98E-07
EIF4A1,0.5,2.04E-07
TAF1D,0.63,2.05E-07
RPS23,0.63,2.38E-07
CAMK2B,-1.77,2.50E-07
LDLRAP1,-0.53,2.51E-07
PRAG1,0.9,2.71E-07
RPL10A,0.55,2.71E-07
WDR75,0.37,2.76E-07
TECRL,-0.55,2.81E-07
TXNDC11,-0.37,2.82E-07
NIP7,0.4,2.82E-07
RPL12,0.59,2.88E-07
NUP35,0.33,3.01E-07
RPS3A,0.52,3.17E-07
CMTM7,0.77,3.20E-07
TGIF1,0.48,3.34E-07
BMERB1,-0.97,3.40E-07
FAM74A3,-0.16,3.42E-07
FXN,0.47,3.46E-07
STEAP1B,1.03,3.48E-07
DDX10,0.36,3.63E-07
RABGGTB,0.49,3.68E-07
UCK2,0.66,3.98E-07
RPL17,0.62,4.47E-07
PUS1,0.51,4.59E-07
SMN2,0.4,4.63E-07
RRP9,0.46,4.99E-07
MAEL,-1.41,5.01E-07
SNX5,0.35,5.18E-07
DDX21,0.73,5.37E-07
RACK1,0.54,6.08E-07
SNED1,-0.83,6.22E-07
TNFRSF14-AS1,-0.88,6.99E-07
PPIL1,0.46,7.28E-07
CARHSP1,-0.48,7.50E-07
MID1,0.71,7.52E-07
PDCD2L,0.55,7.55E-07
AP5M1,-0.44,7.61E-07
DKC1,0.45,7.65E-07
KCNN1,-0.81,7.80E-07
LTB4R2,-0.68,8.15E-07
RPS27A,0.56,8.74E-07
TGS1,0.44,8.83E-07
ZNF7,0.45,8.93E-07
UTP18,0.35,8.96E-07
LHFPL2,0.92,9.03E-07
FARSB,0.39,9.24E-07
RPL8,0.75,9.24E-07
SRPK1,0.47,9.28E-07
BAG2,0.62,1.10E-06
PITPNM2,-0.66,1.12E-06
EIF1B,0.29,1.17E-06
EIF2S3,0.39,1.19E-06
WASHC5,0.48,1.23E-06
PLEKHH3,-0.58,1.31E-06
GPR137,-0.45,1.41E-06
EVPLL,-1.54,1.43E-06
POLR1C,0.38,1.58E-06
EPB41L4A-AS1,0.69,1.61E-06
FOXN4,-1.68,1.69E-06
CHRAC1,0.44,1.71E-06
BPESC1,-0.38,1.76E-06
CYRIB,0.55,1.92E-06
RPL29,0.56,2.01E-06
EEF1A1,0.49,2.03E-06
VARS1,0.41,2.05E-06
BTBD6,-0.79,2.15E-06
CMSS1,0.43,2.16E-06
TRHDE-AS1,-1.2,2.31E-06
EMC2,0.39,2.37E-06
MAF1,0.47,2.38E-06
HSF1,0.52,2.42E-06
PTPRU,-1.39,2.42E-06
DAZL,-0.25,2.45E-06
TTC27,0.34,2.47E-06
EIF3B,0.41,2.47E-06
GPATCH4,0.46,2.54E-06
NOC3L,0.31,2.54E-06
ZFAS1,0.72,2.57E-06
IL1R2,0.75,2.57E-06
CLNS1A,0.37,2.58E-06
NEDD9,0.72,2.66E-06
YEATS4,0.34,2.72E-06
GAS5,0.82,2.73E-06
MRPL50,0.42,2.73E-06
ZC3H8,0.37,2.76E-06
CLCNKA,-1.2,2.81E-06
YWHAZ,0.5,2.85E-06
