GeneID	Myc high Methionine high_2	Myc high Methionine high_3	Myc low Methionine high_1	Myc low Methionine high_2	Myc low Methionine high_3	Myc high Methionine low_1	Myc high Methionine low_2	Myc high Methionine low_3	Myc low Methionine low_1	Myc low Methionine low_2	Myc low Methionine low_3
ENSMUSG00000000001	2260	2535	2373	2248	2345	2628	2663	2805	3051	2913	2938
ENSMUSG00000000003	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000000028	864	972	498	539	496	439	447	444	306	279	354
ENSMUSG00000000031	1	1	0	0	0	0	0	0	1	0	0
ENSMUSG00000000037	0	0	0	0	0	0	2	0	0	0	0
ENSMUSG00000000049	15	17	43	24	27	41	45	33	24	27	40
ENSMUSG00000000056	150	178	434	413	408	447	455	420	541	576	613
ENSMUSG00000000058	1610	1836	2675	2520	2746	3071	2976	3033	3477	3212	3519
ENSMUSG00000000078	6827	7552	3214	3127	3411	2298	2131	2229	2881	2936	3000
ENSMUSG00000000085	135	154	248	300	269	150	148	156	267	294	326
ENSMUSG00000000088	1375	1404	1427	1328	1454	2545	2751	2408	1991	1807	1898
ENSMUSG00000000093	44	63	172	173	142	91	108	101	405	368	385
ENSMUSG00000000094	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000000103	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000000120	3	4	0	2	1	4	1	1	9	1	4
ENSMUSG00000000125	0	0	0	0	0	0	0	1	0	0	0
ENSMUSG00000000126	127	142	214	232	238	42	50	55	251	260	228
ENSMUSG00000000127	198	214	435	455	438	344	341	341	608	609	593
ENSMUSG00000000131	1395	1473	1262	1219	1178	1465	1522	1687	1359	1262	1357
ENSMUSG00000000134	746	822	923	805	858	892	937	951	862	880	935
ENSMUSG00000000142	30	42	26	27	25	34	24	31	133	146	146
ENSMUSG00000000148	237	270	320	300	312	333	347	346	448	423	444
ENSMUSG00000000149	1044	1093	2352	2199	2286	2015	2055	2100	3083	2777	3020
ENSMUSG00000000154	0	0	0	1	2	2	1	0	2	2	3
ENSMUSG00000000157	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000000159	0	0	1	0	0	0	0	0	1	0	0
ENSMUSG00000000167	20	25	12	20	24	20	13	10	24	28	27
ENSMUSG00000000168	749	825	1212	1138	1204	1838	1772	1970	1349	1287	1419
ENSMUSG00000000171	1999	2172	1168	1155	1232	2424	2514	2317	1507	1452	1426
ENSMUSG00000000182	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000000183	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000000184	3491	3826	4734	4415	4611	3456	3460	3439	2614	2688	2843
ENSMUSG00000000194	1081	1190	1510	1316	1340	757	763	787	1309	1257	1388
ENSMUSG00000000197	0	0	0	0	0	0	0	0	1	0	0
ENSMUSG00000000202	0	0	1	0	0	0	0	0	10	1	2
ENSMUSG00000000204	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000000214	0	0	0	0	0	0	0	0	0	1	3
ENSMUSG00000000215	0	0	0	0	0	0	0	0	0	1	0
ENSMUSG00000000216	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000000223	1	0	3	3	1	11	7	2	4	5	3
ENSMUSG00000000244	2	0	2	2	1	1	0	6	6	1	9
ENSMUSG00000000247	3	0	7	3	0	2	2	0	6	5	1
ENSMUSG00000000248	0	1	2	2	2	1	0	1	1	2	3
ENSMUSG00000000253	6	2	13	8	19	8	3	5	15	9	12
ENSMUSG00000000263	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000000266	572	553	971	904	922	718	688	766	810	740	793
ENSMUSG00000000275	1628	1798	1429	1324	1327	1984	1803	1931	1512	1475	1682
ENSMUSG00000000276	242	273	306	253	246	193	203	169	241	255	260
ENSMUSG00000000278	2936	3376	4950	4653	5064	3853	3938	3908	4391	4368	4581
ENSMUSG00000000282	1755	1852	1626	1546	1562	972	1016	1003	945	885	1026
ENSMUSG00000000290	1	2	14	6	13	10	13	9	41	47	32
ENSMUSG00000000295	154	124	176	149	187	319	339	287	216	191	196
ENSMUSG00000000296	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000000301	39	33	22	24	30	43	50	23	22	22	36
ENSMUSG00000000303	0	0	0	0	0	0	1	0	0	0	0
ENSMUSG00000000305	1	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000000308	0	0	0	0	3	3	4	0	1	0	3
ENSMUSG00000000317	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000000318	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000000320	2	0	0	1	0	0	0	1	1	0	0
ENSMUSG00000000326	1428	1516	1726	1631	1721	1295	1316	1291	1614	1394	1526
ENSMUSG00000000339	677	770	567	543	607	788	865	760	678	661	677
ENSMUSG00000000340	193	176	261	261	299	330	314	301	275	339	334
ENSMUSG00000000346	1666	1781	2556	2530	2545	2477	2308	2454	2504	2553	2602
ENSMUSG00000000355	283	276	240	197	229	237	252	254	257	235	301
ENSMUSG00000000359	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000000365	0	2	0	1	0	0	2	0	1	0	3
ENSMUSG00000000374	969	993	1506	1395	1515	1025	1041	1024	1668	1607	1759
ENSMUSG00000000378	876	917	915	886	968	886	931	882	1211	1230	1378
ENSMUSG00000000381	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000000384	1035	1112	797	708	738	1043	1090	1049	768	767	820
ENSMUSG00000000385	0	1	3	0	2	8	4	9	18	20	19
ENSMUSG00000000386	0	0	4	2	4	1	3	3	11	9	13
ENSMUSG00000000392	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000000394	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000000399	672	765	698	672	730	1237	1368	1186	969	988	974
ENSMUSG00000000402	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000000409	0	0	0	1	3	0	0	0	0	0	0
ENSMUSG00000000411	0	0	0	0	0	0	0	0	0	0	1
ENSMUSG00000000416	0	0	0	0	1	0	0	0	0	0	0
ENSMUSG00000000420	863	1078	1436	1295	1379	1342	1311	1360	2070	1840	2065
ENSMUSG00000000435	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000000439	533	598	898	851	874	638	736	655	884	865	933
ENSMUSG00000000440	482	572	1014	980	972	533	552	592	968	917	970
ENSMUSG00000000441	845	920	1288	1212	1215	1026	959	958	1270	1200	1274
ENSMUSG00000000486	26	17	19	36	30	13	22	22	21	33	16
ENSMUSG00000000489	354	322	1169	1133	1200	642	626	626	1773	1647	1762
ENSMUSG00000000530	0	1	1	1	0	0	0	0	0	3	6
ENSMUSG00000000531	71	63	30	36	36	158	128	129	24	24	27
ENSMUSG00000000532	127	143	229	240	268	230	225	212	189	197	221
ENSMUSG00000000538	1657	1864	1827	1650	1733	1485	1445	1565	1991	1880	2009
ENSMUSG00000000544	2	1	2	0	0	0	1	2	0	1	2
ENSMUSG00000000552	533	549	624	579	597	893	926	956	931	801	888
ENSMUSG00000000555	278	247	376	378	445	222	285	280	398	311	392
ENSMUSG00000000560	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000000561	503	612	380	365	406	400	432	456	377	329	334
ENSMUSG00000000562	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000000563	4156	4704	3060	2881	3216	4210	4353	4111	3269	3082	3235
ENSMUSG00000000567	146	126	208	173	225	52	39	36	112	125	158
ENSMUSG00000000568	1172	1306	755	796	842	2027	2020	2184	1898	1785	1970
ENSMUSG00000000579	27	14	9	13	8	22	10	9	10	8	9
ENSMUSG00000000581	380	394	564	517	541	560	605	530	706	671	666
ENSMUSG00000000594	2143	2385	3111	2871	3124	3631	3869	3606	3818	3361	3725
ENSMUSG00000000600	1362	1592	1187	1119	1267	571	544	598	780	728	832
ENSMUSG00000000605	257	221	509	495	562	323	377	383	783	791	827
ENSMUSG00000000606	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000000617	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000000627	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000000628	753	790	1193	1092	1155	2082	2240	2218	1003	928	1039
ENSMUSG00000000631	2803	2937	5554	5107	5366	3508	3417	3547	6253	5956	6504
ENSMUSG00000000632	0	0	0	1	0	3	1	2	0	0	0
ENSMUSG00000000673	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000000682	0	0	0	0	0	1	0	0	0	0	0
ENSMUSG00000000686	80	88	102	77	82	61	54	62	78	84	86
ENSMUSG00000000690	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000000693	212	219	107	93	118	271	298	255	124	125	122
ENSMUSG00000000701	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000000706	55	46	5	10	6	21	27	34	0	0	0
ENSMUSG00000000708	377	378	976	947	1047	733	742	892	1474	1421	1496
ENSMUSG00000000711	903	1042	1421	1395	1534	995	984	951	1493	1393	1579
ENSMUSG00000000724	0	0	0	0	0	0	0	0	0	0	2
ENSMUSG00000000730	0	0	0	0	0	0	0	1	0	0	0
ENSMUSG00000000731	0	0	0	0	0	2	0	1	0	0	0
ENSMUSG00000000732	0	0	1	0	5	5	0	2	13	4	4
ENSMUSG00000000738	491	571	1010	894	922	943	1040	1018	1401	1307	1461
ENSMUSG00000000739	0	0	0	0	0	0	0	2	0	0	0
ENSMUSG00000000740	11253	12088	8670	8208	8399	12500	13284	12158	6886	6509	6984
ENSMUSG00000000743	1023	1024	1450	1328	1442	1576	1634	1570	2101	1907	2195
ENSMUSG00000000751	3181	3482	2030	1945	2128	1906	1902	1983	2212	1978	2165
ENSMUSG00000000753	6	4	0	1	0	4	5	3	2	1	0
ENSMUSG00000000759	414	457	568	526	640	552	576	572	581	668	670
ENSMUSG00000000766	0	0	0	0	1	0	0	0	2	1	0
ENSMUSG00000000776	302	342	207	191	211	220	225	231	226	202	199
ENSMUSG00000000782	23	24	18	18	14	42	39	59	34	28	31
ENSMUSG00000000787	6020	7031	5956	5979	6155	5297	5090	5512	6209	5677	5978
ENSMUSG00000000791	0	2	1	0	0	1	1	2	1	2	1
ENSMUSG00000000792	10	12	3	1	7	6	10	4	5	6	4
ENSMUSG00000000794	0	0	0	0	1	0	0	0	0	1	0
ENSMUSG00000000804	827	876	1811	1812	1728	1364	1180	1331	1889	1818	2050
ENSMUSG00000000805	0	0	0	0	0	0	0	0	1	0	1
ENSMUSG00000000811	206	264	180	168	195	84	111	99	84	84	66
ENSMUSG00000000817	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000000823	389	424	482	476	538	661	598	631	861	760	827
ENSMUSG00000000826	6948	7548	6649	6538	6732	6494	6316	6673	7084	6651	7260
ENSMUSG00000000827	1309	1273	1189	1126	1185	948	1060	952	1130	1102	1166
ENSMUSG00000000838	2805	3079	1908	1820	1898	2042	2074	2223	2256	1997	2240
ENSMUSG00000000861	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000000869	8	13	30	26	33	9	16	19	22	19	30
ENSMUSG00000000876	59	54	152	141	167	209	216	189	186	210	231
ENSMUSG00000000881	99	117	123	122	126	166	208	187	169	149	174
ENSMUSG00000000884	190	157	109	101	119	177	162	123	116	137	147
ENSMUSG00000000889	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000000901	991	1036	1622	1502	1501	875	1028	939	768	717	750
ENSMUSG00000000902	675	754	675	605	669	763	729	776	720	674	720
ENSMUSG00000000903	0	0	1	0	0	0	1	0	0	1	0
ENSMUSG00000000915	1222	1386	1108	1053	1116	1566	1562	1547	1462	1350	1441
ENSMUSG00000000916	380	374	235	250	286	407	428	391	274	253	287
