Samples	Myc1	Myc2	Myc3	Myc4	Myc5	Myc6	Myc7	Ras1	Ras2	Ras3	Ras4	Ras5	Ras6	Ras7
Factors	MYC+ tumor	MYC+ tumor	MYC+ tumor	MYC+ tumor	MYC+ tumor	MYC+ tumor	MYC+ tumor	RAS+ tumor	RAS+ tumor	RAS+ tumor	RAS+ tumor	RAS+ tumor	RAS+ tumor	RAS+ tumor
HMDB07098	0.775782	1.151524	1.028495	0.490112	0.75588	0.94208	0.935791	0.299527	0.555918	0.456788	0.270926	0.470262	0.730289	0.270926
HMDB01882	1.121059	0.7505	1.011445	0.706565	0.988555	0.36673	0.560478	0.213087	0.473962	0.581143	0.817537	0.738754	1.14805	0.560137
HMDB0056009	1.052503	1.142337	0.792024	0.520954	0.904881	0.292183	1.358924	0.190608	0.370591	0.416272	0.582488	0.915326	0.947497	0.377632
HMDB02712	0.861472	0.996114	1.290906	0.708951	1.349073	1.358845	1.609125	1.753674	1.111694	1.329726	0.874493	2.085743	0.87214	1.764378
HMDB10395	0.3641	1.658346	0.800793	0.756638	1.46984	0.341455	0.995014	0.372168	0.479309	0.622815	0.341455	0.744685	0.341455	0.724006
HMDB11517	0.982044	1.454106	1.190437	1.148191	1.072141	2.163868	0.741213	0.340705	0.386977	0.340705	0.955118	0.340705	2.080043	1.057046
HMDB0061690	0.994141	1.944039	1.703585	2.093348	1.560578	1.291334	1.301591	0.119457	0.363546	0.188074	0.404054	0.423358	0.522666	0.304942
HMDB0010392	1.099325	1.571258	1.330367	0.867997	2.297466	0.684342	2.121877	0.210636	0.350438	0.655229	0.359126	0.210636	0.58305	0.336611
HMDB0010386	0.368837	1.256415	1.097586	0.610666	2.341406	0.391211	1	0.50225	0.787633	1.163476	0.67338	1.028243	0.988214	0.578453
HMDB11507	0.888241	1.178734	0.883115	1.039438	1.672283	2.228375	0.63362	0.452064	0.477462	0.452064	0.452064	0.452064	1.015315	0.452064
HMDB02820	0.541469	0.793032	0.824007	0.550427	0.541469	0.541469	0.772313	16.547951	16.531927	0.541469	7.663668	0.541469	0.849975	0.541469
HMDB10379	1.493676	1.355553	2.273954	0.874839	1.609449	0.639693	0.697807	0.997285	0.876005	0.368969	1.186051	1.738661	0.942406	0.804903
HMDB02350	1.104573	0.552824	1.157003	0.830516	0.999329	1.192023	1.316015	0.841216	0.94853	0.441286	0.666239	0.788892	1.000671	0.859029
HMDB11567	0.969795	0.869462	1.39386	1.454696	1.358371	1.447877	1.398529	0.79857	0.311061	0.333896	0.126773	0.392505	0.643537	0.512563
HMDB02815	3.798649	1.184979	1.802432	0.612958	1.769084	0.509559	1.080311	0.378113	0.642152	1.266075	0.970228	2.248019	0.737753	0.307327
HMDB11506	1.847099	1.604973	1.69381	1.274498	1.909276	1.4549	0.743944	0.136437	0.247811	0.148162	0.557863	0.258228	0.539798	0.338957
HMDB0061693	3.892346	1.356916	3.869493	2.188858	2.862369	1.274174	1.158598	0.222604	0.506216	0.222604	0.737864	0.884744	0.222604	0.222604
HMDB0010383	1.676099	1.239212	1.466784	0.97914	2.054971	0.428768	0.88163	0.449219	0.533707	0.814086	0.698424	1.494054	0.610147	0.352973
HMDB0011564	0.618547	0.673873	0.802119	0.638292	0.718577	0.992334	1.351197	0.673154	0.541681	0.538632	0.448004	0.562968	0.79528	0.641278
HMDB0010382	2.037875	1.467309	0.454659	0.333723	0.861786	0.532687	1.319887	0.971632	0.935214	1.808969	0.704439	2.090863	0.84473	0.480948
HMDB11503	0.794192	1.482125	0.55209	0.682759	1.005544	0.908425	0.443468	0.383399	0.571821	0.536208	1.275347	0.30323	1.510361	1.014906
HMDB0061695	1.084718	0.677959	0.74171	0.612992	0.57864	0.481617	0.620798	0.525129	0.665015	0.702017	1.067668	1.269057	0.392396	0.378
HMDB0011131	0.546232	0.809688	0.854977	0.77211	0.972143	0.840021	1.248433	0.730989	0.775717	0.884523	0.543108	0.737441	0.925538	0.716659
HMDB0010384	0.772524	0.758591	0.888079	0.548416	1.069616	0.05393	0.099842	1.085495	1.661607	1.525844	1.418934	0.842023	1.130231	0.930384
