samples	Ctrl1	Ctrl2	Ctrl3	Ctrl4	Ctrl5	Ctrl6	Ctrl7	Myc1	Myc2	Myc3	Myc4	Myc5	Myc6	Myc7
factors	normal control	normal control	normal control	normal control	normal control	normal control	normal control	MYC+ tumor	MYC+ tumor	MYC+ tumor	MYC+ tumor	MYC+ tumor	MYC+ tumor	MYC+ tumor
HMDB07098	1.601603	1.097282	1.934479	1.943472	1.70343	1.301175	1.234939	0.775782	1.151524	1.028495	0.490112	0.75588	0.94208	0.935791
HMDB01882	7.08052	5.340111	6.382592	6.079255	2.984577	0.950262	2.198969	1.121059	0.7505	1.011445	0.706565	0.988555	0.36673	0.560478
HMDB0056009	1.968851	1.452992	3.067094	2.624619	1.95281	1.755766	1.599024	1.052503	1.142337	0.792024	0.520954	0.904881	0.292183	1.358924
HMDB02712	0.827708	0.894187	0.464084	0.775802	0.464084	0.816151	0.464084	0.861472	0.996114	1.290906	0.708951	1.349073	1.358845	1.609125
HMDB10395	0.341455	0.341455	1.35057	1.18223	0.945721	0.341455	1.004986	0.3641	1.658346	0.800793	0.756638	1.46984	0.341455	0.995014
HMDB11517	0.56353	0.340705	0.870376	0.893362	1.87711	0.926363	1	0.982044	1.454106	1.190437	1.148191	1.072141	2.163868	0.741213
HMDB0061690	0.792982	0.698176	1.225369	0.823313	1.322768	1.414615	1.514203	0.994141	1.944039	1.703585	2.093348	1.560578	1.291334	1.301591
HMDB0010392	0.879113	0.704087	1.141708	1	0.501106	0.210636	0.728943	1.099325	1.571258	1.330367	0.867997	2.297466	0.684342	2.121877
HMDB0010386	0.794251	1.087227	1.351861	1.163517	0.619268	0.10853	0.10853	0.368837	1.256415	1.097586	0.610666	2.341406	0.391211	1
HMDB11507	0.918829	0.452064	0.893812	0.64517	1.132491	0.452064	0.824861	0.888241	1.178734	0.883115	1.039438	1.672283	2.228375	0.63362
HMDB02820	0.845252	0.541469	0.661553	1.451276	1.150025	1.277716	0.541469	0.541469	0.793032	0.824007	0.550427	0.541469	0.541469	0.772313
HMDB10379	2.006869	2.091031	0.913456	0.916012	0.368969	0.368969	0.898829	1.493676	1.355553	2.273954	0.874839	1.609449	0.639693	0.697807
HMDB02350	0.831146	0.815164	0.948488	1.126059	1.226102	1.115767	1.114765	1.104573	0.552824	1.157003	0.830516	0.999329	1.192023	1.316015
HMDB11567	0.810339	0.276433	1.011437	1.462675	1.098585	1.25408	1.018314	0.969795	0.869462	1.39386	1.454696	1.358371	1.447877	1.398529
HMDB02815	1.527819	0.991097	0.694678	2.980356	0.503105	0.488938	0.475624	3.798649	1.184979	1.802432	0.612958	1.769084	0.509559	1.080311
HMDB11506	0.825487	0.831835	0.996565	1.105188	1.27304	1.116649	1.345193	1.847099	1.604973	1.69381	1.274498	1.909276	1.4549	0.743944
HMDB0061693	1.122365	1.056698	0.733547	1.242942	0.781713	0.579468	1.45831	3.892346	1.356916	3.869493	2.188858	2.862369	1.274174	1.158598
HMDB0010383	1.22738	2.016312	1.771696	1.77358	0.924185	0.434129	0.663033	1.676099	1.239212	1.466784	0.97914	2.054971	0.428768	0.88163
HMDB0011564	1.602148	1.007666	1.630138	1.807147	1.629093	1.193932	1.203225	0.618547	0.673873	0.802119	0.638292	0.718577	0.992334	1.351197
HMDB0010382	1.809334	1.072248	1.008917	2.491842	0.606384	0.419284	0.328264	2.037875	1.467309	0.454659	0.333723	0.861786	0.532687	1.319887
HMDB11503	0.974657	0.886893	1.288793	0.994456	1.064669	1.041426	0.762102	0.794192	1.482125	0.55209	0.682759	1.005544	0.908425	0.443468
HMDB0061695	2.747817	3.355458	2.192113	2.335923	1.541395	1.015514	1.723889	1.084718	0.677959	0.74171	0.612992	0.57864	0.481617	0.620798
HMDB0011131	1.78117	1.294038	1.814136	2.106369	1.596902	1.54485	1.49607	0.546232	0.809688	0.854977	0.77211	0.972143	0.840021	1.248433
HMDB0010384	0.487955	1.209198	1.079171	0.775845	0.592163	0.35911	0.734144	0.772524	0.758591	0.888079	0.548416	1.069616	0.05393	0.099842
HMDB11130	0.445551	1.12565	1.473852	0.845783	0.7536	0.245694	0.62019	1.117957	1.221209	1.381178	0.966026	1.870727	0.07604	0.213789
