pathway	NOP2	CENTROSOME_DUPLICATION
TCGA.RC.A6M3.01A.11R.A32O.07	6.538353203	0.213137134
TCGA.CC.A8HT.01A.11R.A36F.07	6.241771958	0.067436004
TCGA.RC.A7S9.01A.11R.A33R.07	6.192615537	0.089385253
TCGA.DD.AAD6.01A.11R.A41C.07	6.01056346	0.251174287
TCGA.CC.A8HV.01A.11R.A36F.07	5.78975661	0.099050349
TCGA.CC.A8HS.01A.11R.A36F.07	5.787433335	0.246424038
TCGA.G3.A7M6.01A.11R.A33R.07	5.736453385	0.170807876
TCGA.DD.AA3A.01A.11R.A37K.07	5.730511761	0.225639042
TCGA.DD.AACZ.01A.11R.A41C.07	5.705542353	0.131300407
TCGA.CC.A9FS.01A.11R.A37K.07	5.69090786	-0.024349937
TCGA.DD.A4NQ.01A.21R.A28V.07	5.6773657	0.081038342
TCGA.DD.AAD5.01A.11R.A41C.07	5.663993776	0.062079173
TCGA.4R.AA8I.01A.11R.A38B.07	5.658955422	-0.212111413
TCGA.DD.AAEI.01A.11R.A41C.07	5.657513885	-0.125962101
TCGA.5C.A9VG.01A.11R.A37K.07	5.642003774	-0.079543664
TCGA.CC.A7II.01A.11R.A33J.07	5.638271488	0.180324019
TCGA.G3.A7M9.01A.23R.A352.07	5.61011561	0.209086704
TCGA.2Y.A9H9.01A.21R.A39D.07	5.594287155	-0.147074569
TCGA.WX.AA47.01A.11R.A39D.07	5.580292909	-0.238856449
TCGA.WQ.A9G7.01A.11R.A37K.07	5.572005953	0.029304107
TCGA.CC.A5UC.01A.11R.A28V.07	5.559037058	0.07395769
TCGA.ED.A8O6.01A.11R.A36F.07	5.547332603	-0.243807291
TCGA.LG.A9QC.01A.11R.A37K.07	5.5251952	0.002931543
TCGA.WX.AA46.01A.11R.A39D.07	5.524562981	-0.225499851
TCGA.KR.A7K8.01A.11R.A33J.07	5.51879863	-0.375658789
TCGA.NI.A8LF.01A.11R.A36F.07	5.518311775	-0.25418418
TCGA.G3.A6UC.01A.21R.A33J.07	5.51667009	0.165605184
TCGA.DD.AAE1.01A.11R.A41C.07	5.505279767	-0.219084224
TCGA.DD.AADB.01A.11R.A41C.07	5.503695528	0.07160161
TCGA.ED.A7PZ.01A.11R.A33R.07	5.501941066	-0.115210611
TCGA.BD.A3ER.01A.11R.A213.07	5.499905564	-0.45733044
TCGA.DD.AADC.01A.11R.A41C.07	5.487875006	0.302821031
TCGA.CC.A9FW.01A.11R.A37K.07	5.481856005	0.021014274
TCGA.DD.AAED.01A.12R.A41C.07	5.481062622	-0.140514707
TCGA.ED.A97K.01A.21R.A38B.07	5.472969692	0.240774346
TCGA.DD.A4ND.01A.11R.A266.07	5.468279789	-0.073887763
TCGA.DD.AAD8.01A.11R.A41C.07	5.464533121	0.147303306
TCGA.ZP.A9D4.01A.11R.A37K.07	5.464118205	-0.043582405
TCGA.BC.A216.01A.11R.A155.07	5.463761728	0.276221719
TCGA.BC.A112.01A.11R.A131.07	5.462496702	0.149685718
TCGA.KR.A7K0.01A.12R.A33R.07	5.461272675	-0.282714337
TCGA.ED.A7PX.01A.51R.A352.07	5.459198544	0.092144944
TCGA.DD.AAE2.01A.11R.A41C.07	5.457410441	-0.135047244
TCGA.BC.A8YO.01A.11R.A37K.07	5.456937529	0.362098887
TCGA.MI.A75C.01A.11R.A32O.07	5.432347304	-0.129980549
TCGA.XR.A8TF.01A.11R.A36F.07	5.421505815	0.069731748
TCGA.FV.A4ZP.01A.12R.A266.07	5.419432446	-0.200259126
