pathway	NOP2	CHROMATIN_ORGANIZATION
TCGA.RC.A6M3.01A.11R.A32O.07	6.538353203	0.007449443
TCGA.CC.A8HT.01A.11R.A36F.07	6.241771958	-0.106030042
TCGA.RC.A7S9.01A.11R.A33R.07	6.192615537	-0.090818449
TCGA.DD.AAD6.01A.11R.A41C.07	6.01056346	0.004142598
TCGA.CC.A8HV.01A.11R.A36F.07	5.78975661	0.064568896
TCGA.CC.A8HS.01A.11R.A36F.07	5.787433335	0.093196772
TCGA.G3.A7M6.01A.11R.A33R.07	5.736453385	-0.059993105
TCGA.DD.AA3A.01A.11R.A37K.07	5.730511761	0.021956506
TCGA.DD.AACZ.01A.11R.A41C.07	5.705542353	-0.096335562
TCGA.CC.A9FS.01A.11R.A37K.07	5.69090786	-0.03615596
TCGA.DD.A4NQ.01A.21R.A28V.07	5.6773657	-0.313404656
TCGA.DD.AAD5.01A.11R.A41C.07	5.663993776	-0.183542949
TCGA.4R.AA8I.01A.11R.A38B.07	5.658955422	-0.293204895
TCGA.DD.AAEI.01A.11R.A41C.07	5.657513885	-0.107300095
TCGA.5C.A9VG.01A.11R.A37K.07	5.642003774	0.028170962
TCGA.CC.A7II.01A.11R.A33J.07	5.638271488	0.063334005
TCGA.G3.A7M9.01A.23R.A352.07	5.61011561	0.069586368
TCGA.2Y.A9H9.01A.21R.A39D.07	5.594287155	-0.197600849
TCGA.WX.AA47.01A.11R.A39D.07	5.580292909	-0.206897714
TCGA.WQ.A9G7.01A.11R.A37K.07	5.572005953	-0.123965142
TCGA.CC.A5UC.01A.11R.A28V.07	5.559037058	-0.16178282
TCGA.ED.A8O6.01A.11R.A36F.07	5.547332603	-0.0393391
TCGA.LG.A9QC.01A.11R.A37K.07	5.5251952	-0.107234772
TCGA.WX.AA46.01A.11R.A39D.07	5.524562981	-0.328082596
TCGA.KR.A7K8.01A.11R.A33J.07	5.51879863	-0.33317375
TCGA.NI.A8LF.01A.11R.A36F.07	5.518311775	-0.287089806
TCGA.G3.A6UC.01A.21R.A33J.07	5.51667009	-0.082536741
TCGA.DD.AAE1.01A.11R.A41C.07	5.505279767	-0.034657006
TCGA.DD.AADB.01A.11R.A41C.07	5.503695528	0.070386277
TCGA.ED.A7PZ.01A.11R.A33R.07	5.501941066	-0.166139859
TCGA.BD.A3ER.01A.11R.A213.07	5.499905564	-0.326631627
TCGA.DD.AADC.01A.11R.A41C.07	5.487875006	-0.121461999
TCGA.CC.A9FW.01A.11R.A37K.07	5.481856005	-0.042494451
TCGA.DD.AAED.01A.12R.A41C.07	5.481062622	-0.024695962
TCGA.ED.A97K.01A.21R.A38B.07	5.472969692	-0.127646315
TCGA.DD.A4ND.01A.11R.A266.07	5.468279789	-0.31489616
TCGA.DD.AAD8.01A.11R.A41C.07	5.464533121	-0.059757255
TCGA.ZP.A9D4.01A.11R.A37K.07	5.464118205	-0.004001377
TCGA.BC.A216.01A.11R.A155.07	5.463761728	0.044036661
TCGA.BC.A112.01A.11R.A131.07	5.462496702	0.118092917
TCGA.KR.A7K0.01A.12R.A33R.07	5.461272675	-0.310865087
TCGA.ED.A7PX.01A.51R.A352.07	5.459198544	-0.004892578
TCGA.DD.AAE2.01A.11R.A41C.07	5.457410441	-0.228799853
TCGA.BC.A8YO.01A.11R.A37K.07	5.456937529	0.072685563
TCGA.MI.A75C.01A.11R.A32O.07	5.432347304	-0.31558255
TCGA.XR.A8TF.01A.11R.A36F.07	5.421505815	0.02415518
TCGA.FV.A4ZP.01A.12R.A266.07	5.419432446	-0.275777566
TCGA.CC.A9FU.01A.11R.A37K.07	5.419144774	0.080595092
TCGA.DD.AADY.01A.11R.A41C.07	5.41106671	-0.014988477
TCGA.DD.A1EB.01A.11R.A131.07	5.408486146	-0.073357364
TCGA.DD.A73D.01A.12R.A32O.07	5.408305106	-0.054530025
TCGA.DD.AAVZ.01A.11R.A41C.07	5.407808223	-0.0782488
TCGA.ZP.A9D2.01A.11R.A38B.07	5.404029837	-0.222373565
TCGA.DD.AACK.01A.11R.A41C.07	5.400481722	-0.188224435
TCGA.UB.A7MC.01A.11R.A33R.07	5.39931618	0.120753779
TCGA.DD.AAEA.01A.11R.A41C.07	5.396841229	-0.236277018
TCGA.CC.A3MC.01A.11R.A22L.07	5.393600149	-0.157863851
TCGA.K7.AAU7.01A.11R.A38B.07	5.388150239	-0.104076159
TCGA.DD.AAE6.01A.11R.A41C.07	5.375053202	0.001575223
TCGA.DD.AAD1.01A.11R.A41C.07	5.369720945	-0.19765716
TCGA.XR.A8TC.01A.11R.A36F.07	5.368806101	-0.077040184
TCGA.ED.A66Y.01A.11R.A311.07	5.367673666	0.123881305
TCGA.RG.A7D4.01A.12R.A33R.07	5.358043594	-0.030606102
TCGA.G3.A7M7.01A.12R.A352.07	5.351197236	-0.377387015
TCGA.2Y.A9GU.01A.11R.A38B.07	5.348637061	-0.162359538
