pathway	NOP2	DNA_METHYLATION
TCGA.RC.A6M3.01A.11R.A32O.07	6.538353203	0.075806437
TCGA.CC.A8HT.01A.11R.A36F.07	6.241771958	-0.115647616
TCGA.RC.A7S9.01A.11R.A33R.07	6.192615537	-0.164512719
TCGA.DD.AAD6.01A.11R.A41C.07	6.01056346	-0.018355388
TCGA.CC.A8HV.01A.11R.A36F.07	5.78975661	0.079586709
TCGA.CC.A8HS.01A.11R.A36F.07	5.787433335	0.126693375
TCGA.G3.A7M6.01A.11R.A33R.07	5.736453385	-0.027163811
TCGA.DD.AA3A.01A.11R.A37K.07	5.730511761	-0.175993361
TCGA.DD.AACZ.01A.11R.A41C.07	5.705542353	-0.119450511
TCGA.CC.A9FS.01A.11R.A37K.07	5.69090786	0.016247862
TCGA.DD.A4NQ.01A.21R.A28V.07	5.6773657	-0.014249069
TCGA.DD.AAD5.01A.11R.A41C.07	5.663993776	-0.15079281
TCGA.4R.AA8I.01A.11R.A38B.07	5.658955422	-0.114067499
TCGA.DD.AAEI.01A.11R.A41C.07	5.657513885	-0.090289184
TCGA.5C.A9VG.01A.11R.A37K.07	5.642003774	-0.006624873
TCGA.CC.A7II.01A.11R.A33J.07	5.638271488	0.104727093
TCGA.G3.A7M9.01A.23R.A352.07	5.61011561	0.124789264
TCGA.2Y.A9H9.01A.21R.A39D.07	5.594287155	-0.373997117
TCGA.WX.AA47.01A.11R.A39D.07	5.580292909	-0.380141201
TCGA.WQ.A9G7.01A.11R.A37K.07	5.572005953	-0.13836989
TCGA.CC.A5UC.01A.11R.A28V.07	5.559037058	0.078314421
TCGA.ED.A8O6.01A.11R.A36F.07	5.547332603	-0.110176948
TCGA.LG.A9QC.01A.11R.A37K.07	5.5251952	-0.184072941
TCGA.WX.AA46.01A.11R.A39D.07	5.524562981	-0.344749153
TCGA.KR.A7K8.01A.11R.A33J.07	5.51879863	-0.391553704
TCGA.NI.A8LF.01A.11R.A36F.07	5.518311775	-0.103613565
TCGA.G3.A6UC.01A.21R.A33J.07	5.51667009	-0.183658604
TCGA.DD.AAE1.01A.11R.A41C.07	5.505279767	-0.147844484
TCGA.DD.AADB.01A.11R.A41C.07	5.503695528	-0.064044303
TCGA.ED.A7PZ.01A.11R.A33R.07	5.501941066	-0.146076728
TCGA.BD.A3ER.01A.11R.A213.07	5.499905564	-0.276587832
TCGA.DD.AADC.01A.11R.A41C.07	5.487875006	-0.117276884
TCGA.CC.A9FW.01A.11R.A37K.07	5.481856005	-0.203303157
TCGA.DD.AAED.01A.12R.A41C.07	5.481062622	-0.043752664
TCGA.ED.A97K.01A.21R.A38B.07	5.472969692	0.139745811
TCGA.DD.A4ND.01A.11R.A266.07	5.468279789	-0.390746911
TCGA.DD.AAD8.01A.11R.A41C.07	5.464533121	-0.338678005
TCGA.ZP.A9D4.01A.11R.A37K.07	5.464118205	-0.184351537
TCGA.BC.A216.01A.11R.A155.07	5.463761728	0.074639404
TCGA.BC.A112.01A.11R.A131.07	5.462496702	0.139330708
TCGA.KR.A7K0.01A.12R.A33R.07	5.461272675	-0.399826846
TCGA.ED.A7PX.01A.51R.A352.07	5.459198544	0.062059982
TCGA.DD.AAE2.01A.11R.A41C.07	5.457410441	-0.26307328
TCGA.BC.A8YO.01A.11R.A37K.07	5.456937529	0.040980659
TCGA.MI.A75C.01A.11R.A32O.07	5.432347304	-0.290199956
TCGA.XR.A8TF.01A.11R.A36F.07	5.421505815	-0.176363036
TCGA.FV.A4ZP.01A.12R.A266.07	5.419432446	-0.246608537
