pathway	NOP2	HISTONE_METHYLATION
TCGA.RC.A6M3.01A.11R.A32O.07	6.538353203	-0.02691096
TCGA.CC.A8HT.01A.11R.A36F.07	6.241771958	-0.015295952
TCGA.RC.A7S9.01A.11R.A33R.07	6.192615537	-0.094605918
TCGA.DD.AAD6.01A.11R.A41C.07	6.01056346	0.044524081
TCGA.CC.A8HV.01A.11R.A36F.07	5.78975661	0.116447788
TCGA.CC.A8HS.01A.11R.A36F.07	5.787433335	0.233835111
TCGA.G3.A7M6.01A.11R.A33R.07	5.736453385	0.019449682
TCGA.DD.AA3A.01A.11R.A37K.07	5.730511761	0.014310141
TCGA.DD.AACZ.01A.11R.A41C.07	5.705542353	-0.016846536
TCGA.CC.A9FS.01A.11R.A37K.07	5.69090786	0.010513474
TCGA.DD.A4NQ.01A.21R.A28V.07	5.6773657	-0.212959435
TCGA.DD.AAD5.01A.11R.A41C.07	5.663993776	-0.171540613
TCGA.4R.AA8I.01A.11R.A38B.07	5.658955422	-0.269385507
TCGA.DD.AAEI.01A.11R.A41C.07	5.657513885	-0.161333889
TCGA.5C.A9VG.01A.11R.A37K.07	5.642003774	0.167520436
TCGA.CC.A7II.01A.11R.A33J.07	5.638271488	0.13094631
TCGA.G3.A7M9.01A.23R.A352.07	5.61011561	0.158545283
TCGA.2Y.A9H9.01A.21R.A39D.07	5.594287155	-0.171375264
TCGA.WX.AA47.01A.11R.A39D.07	5.580292909	-0.137981679
TCGA.WQ.A9G7.01A.11R.A37K.07	5.572005953	-0.026563688
TCGA.CC.A5UC.01A.11R.A28V.07	5.559037058	-0.03847124
TCGA.ED.A8O6.01A.11R.A36F.07	5.547332603	0.015556338
TCGA.LG.A9QC.01A.11R.A37K.07	5.5251952	-0.148387963
TCGA.WX.AA46.01A.11R.A39D.07	5.524562981	-0.354130675
TCGA.KR.A7K8.01A.11R.A33J.07	5.51879863	-0.388114591
TCGA.NI.A8LF.01A.11R.A36F.07	5.518311775	-0.328710782
TCGA.G3.A6UC.01A.21R.A33J.07	5.51667009	-0.020887377
TCGA.DD.AAE1.01A.11R.A41C.07	5.505279767	0.056603254
TCGA.DD.AADB.01A.11R.A41C.07	5.503695528	0.120128087
TCGA.ED.A7PZ.01A.11R.A33R.07	5.501941066	-0.140307376
TCGA.BD.A3ER.01A.11R.A213.07	5.499905564	-0.345262074
TCGA.DD.AADC.01A.11R.A41C.07	5.487875006	-0.115454725
TCGA.CC.A9FW.01A.11R.A37K.07	5.481856005	0.031427774
TCGA.DD.AAED.01A.12R.A41C.07	5.481062622	0.065600593
TCGA.ED.A97K.01A.21R.A38B.07	5.472969692	-0.163916191
TCGA.DD.A4ND.01A.11R.A266.07	5.468279789	-0.319181653
TCGA.DD.AAD8.01A.11R.A41C.07	5.464533121	-0.116162618
TCGA.ZP.A9D4.01A.11R.A37K.07	5.464118205	0.007284504
TCGA.BC.A216.01A.11R.A155.07	5.463761728	0.013246686
TCGA.BC.A112.01A.11R.A131.07	5.462496702	0.068571949
TCGA.KR.A7K0.01A.12R.A33R.07	5.461272675	-0.244973858
TCGA.ED.A7PX.01A.51R.A352.07	5.459198544	0.041562077
TCGA.DD.AAE2.01A.11R.A41C.07	5.457410441	-0.258570247
TCGA.BC.A8YO.01A.11R.A37K.07	5.456937529	0.164731809
TCGA.MI.A75C.01A.11R.A32O.07	5.432347304	-0.174319897
TCGA.XR.A8TF.01A.11R.A36F.07	5.421505815	0.056611558
TCGA.FV.A4ZP.01A.12R.A266.07	5.419432446	-0.207382496
TCGA.CC.A9FU.01A.11R.A37K.07	5.419144774	0.101566356
TCGA.DD.AADY.01A.11R.A41C.07	5.41106671	0.095009496
TCGA.DD.A1EB.01A.11R.A131.07	5.408486146	-0.198604622
TCGA.DD.A73D.01A.12R.A32O.07	5.408305106	0.030572337
TCGA.DD.AAVZ.01A.11R.A41C.07	5.407808223	0.140279153
TCGA.ZP.A9D2.01A.11R.A38B.07	5.404029837	-0.116952535
TCGA.DD.AACK.01A.11R.A41C.07	5.400481722	-0.203301891
TCGA.UB.A7MC.01A.11R.A33R.07	5.39931618	0.174597583
TCGA.DD.AAEA.01A.11R.A41C.07	5.396841229	-0.108591775
TCGA.CC.A3MC.01A.11R.A22L.07	5.393600149	-0.103507076
TCGA.K7.AAU7.01A.11R.A38B.07	5.388150239	-0.253194478
TCGA.DD.AAE6.01A.11R.A41C.07	5.375053202	0.131147353
TCGA.DD.AAD1.01A.11R.A41C.07	5.369720945	-0.109373264
TCGA.XR.A8TC.01A.11R.A36F.07	5.368806101	0.101539428
TCGA.ED.A66Y.01A.11R.A311.07	5.367673666	0.219559427
TCGA.RG.A7D4.01A.12R.A33R.07	5.358043594	-0.059277433
TCGA.G3.A7M7.01A.12R.A352.07	5.351197236	-0.394062216
TCGA.2Y.A9GU.01A.11R.A38B.07	5.348637061	-0.111897841
TCGA.CC.5258.01A.01R.A131.07	5.345504846	0.113658527
TCGA.DD.A1EA.01A.11R.A131.07	5.344195281	0.154196166
TCGA.DD.AAVY.01A.11R.A41C.07	5.343488356	-0.026598575
TCGA.G3.AAV7.01A.11R.A38B.07	5.340260433	0.054059831
TCGA.DD.A113.01A.11R.A131.07	5.340188496	-0.009716658
TCGA.DD.AACX.01A.11R.A41C.07	5.338693812	0.028058963
TCGA.5R.AA1C.01A.11R.A41C.07	5.335451836	-0.021532559
TCGA.CC.5263.01A.01R.A131.07	5.331185435	0.143638542
TCGA.DD.AAE0.01A.11R.A41C.07	5.307860107	-0.009740024
TCGA.FV.A3I1.01A.11R.A22L.07	5.307475077	-0.003780017
TCGA.2Y.A9H2.01A.12R.A38B.07	5.304331124	0.028078333
TCGA.DD.AACF.01A.11R.A41C.07	5.303282114	-0.161607923
TCGA.2Y.A9H6.01A.11R.A39D.07	5.302535908	-0.272556966
TCGA.GJ.A9DB.01A.11R.A37K.07	5.302377766	-0.233429622
TCGA.DD.AACN.01A.11R.A41C.07	5.299417422	0.022300993
TCGA.DD.AADW.01A.11R.A39D.07	5.294614725	0.274879684
