pathway	NOP2	CELL_CYCLE
TCGA.RC.A6M3.01A.11R.A32O.07	6.538353203	0.016751841
TCGA.CC.A8HT.01A.11R.A36F.07	6.241771958	-0.024558135
TCGA.RC.A7S9.01A.11R.A33R.07	6.192615537	-0.011378467
TCGA.DD.AAD6.01A.11R.A41C.07	6.01056346	0.04730983
TCGA.CC.A8HV.01A.11R.A36F.07	5.78975661	-0.106042068
TCGA.CC.A8HS.01A.11R.A36F.07	5.787433335	0.067126018
TCGA.G3.A7M6.01A.11R.A33R.07	5.736453385	-0.085351077
TCGA.DD.AA3A.01A.11R.A37K.07	5.730511761	-0.029645143
TCGA.DD.AACZ.01A.11R.A41C.07	5.705542353	0.001875228
TCGA.CC.A9FS.01A.11R.A37K.07	5.69090786	-0.113184708
TCGA.DD.A4NQ.01A.21R.A28V.07	5.6773657	-0.113528696
TCGA.DD.AAD5.01A.11R.A41C.07	5.663993776	-0.091094112
TCGA.4R.AA8I.01A.11R.A38B.07	5.658955422	-0.271006852
TCGA.DD.AAEI.01A.11R.A41C.07	5.657513885	-0.004722943
TCGA.5C.A9VG.01A.11R.A37K.07	5.642003774	0.022410473
TCGA.CC.A7II.01A.11R.A33J.07	5.638271488	0.080746769
TCGA.G3.A7M9.01A.23R.A352.07	5.61011561	0.043174305
TCGA.2Y.A9H9.01A.21R.A39D.07	5.594287155	-0.14507793
TCGA.WX.AA47.01A.11R.A39D.07	5.580292909	-0.203772874
TCGA.WQ.A9G7.01A.11R.A37K.07	5.572005953	-0.086525999
TCGA.CC.A5UC.01A.11R.A28V.07	5.559037058	0.04851886
TCGA.ED.A8O6.01A.11R.A36F.07	5.547332603	-0.157570102
TCGA.LG.A9QC.01A.11R.A37K.07	5.5251952	-0.102000315
TCGA.WX.AA46.01A.11R.A39D.07	5.524562981	-0.253318508
TCGA.KR.A7K8.01A.11R.A33J.07	5.51879863	-0.246230102
TCGA.NI.A8LF.01A.11R.A36F.07	5.518311775	-0.32602594
TCGA.G3.A6UC.01A.21R.A33J.07	5.51667009	-0.173182199
TCGA.DD.AAE1.01A.11R.A41C.07	5.505279767	-0.095822017
TCGA.DD.AADB.01A.11R.A41C.07	5.503695528	0.039877835
TCGA.ED.A7PZ.01A.11R.A33R.07	5.501941066	-0.176034243
TCGA.BD.A3ER.01A.11R.A213.07	5.499905564	-0.31966358
TCGA.DD.AADC.01A.11R.A41C.07	5.487875006	-0.03687528
TCGA.CC.A9FW.01A.11R.A37K.07	5.481856005	-0.033164488
TCGA.DD.AAED.01A.12R.A41C.07	5.481062622	-0.130523364
TCGA.ED.A97K.01A.21R.A38B.07	5.472969692	-0.152836806
TCGA.DD.A4ND.01A.11R.A266.07	5.468279789	-0.199479486
TCGA.DD.AAD8.01A.11R.A41C.07	5.464533121	-0.153012055
TCGA.ZP.A9D4.01A.11R.A37K.07	5.464118205	-0.045566576
TCGA.BC.A216.01A.11R.A155.07	5.463761728	0.033784421
TCGA.BC.A112.01A.11R.A131.07	5.462496702	-2.67E-04
TCGA.KR.A7K0.01A.12R.A33R.07	5.461272675	-0.255356783
TCGA.ED.A7PX.01A.51R.A352.07	5.459198544	-0.033471169
TCGA.DD.AAE2.01A.11R.A41C.07	5.457410441	-0.195232958
TCGA.BC.A8YO.01A.11R.A37K.07	5.456937529	0.067843315
TCGA.MI.A75C.01A.11R.A32O.07	5.432347304	-0.232724866
TCGA.XR.A8TF.01A.11R.A36F.07	5.421505815	-0.049301456
TCGA.FV.A4ZP.01A.12R.A266.07	5.419432446	-0.213316154
TCGA.CC.A9FU.01A.11R.A37K.07	5.419144774	0.028953749
TCGA.DD.AADY.01A.11R.A41C.07	5.41106671	0.009594555
TCGA.DD.A1EB.01A.11R.A131.07	5.408486146	-0.178414009
TCGA.DD.A73D.01A.12R.A32O.07	5.408305106	-0.053193021
TCGA.DD.AAVZ.01A.11R.A41C.07	5.407808223	-0.027624962
TCGA.ZP.A9D2.01A.11R.A38B.07	5.404029837	-0.092580512
TCGA.DD.AACK.01A.11R.A41C.07	5.400481722	-0.09253505
TCGA.UB.A7MC.01A.11R.A33R.07	5.39931618	0.066530944
TCGA.DD.AAEA.01A.11R.A41C.07	5.396841229	-0.127298798
TCGA.CC.A3MC.01A.11R.A22L.07	5.393600149	0.034818856
TCGA.K7.AAU7.01A.11R.A38B.07	5.388150239	-0.128544358
TCGA.DD.AAE6.01A.11R.A41C.07	5.375053202	0.03539633
TCGA.DD.AAD1.01A.11R.A41C.07	5.369720945	-0.184048419
TCGA.XR.A8TC.01A.11R.A36F.07	5.368806101	-0.072965762
TCGA.ED.A66Y.01A.11R.A311.07	5.367673666	0.069951527
TCGA.RG.A7D4.01A.12R.A33R.07	5.358043594	-0.056663825
TCGA.G3.A7M7.01A.12R.A352.07	5.351197236	-0.229085337
TCGA.2Y.A9GU.01A.11R.A38B.07	5.348637061	-0.20076642
