cell	MYC	NOP2
JHH6	6.930619079	6.53714073
SNU398	7.493295071	7.22602678
SNU886	5.996840648	6.071676874
SKHEP1	6.924812504	6.35473424
HLF	6.04220656	6.537606691
SNU449	6.69849632	5.85723458
SNU475	4.272769732	5.610877199
LI7	5.198101209	6.538693351
HUH1	6.522149933	6.660067223
JHH4	5.924575003	5.896514054
SNU387	5.622344723	5.523875551
HUH7	5.946496941	6.582405464
SNU182	5.742545234	5.12763328
SNU423	6.237448996	5.450881315
SNU761	5.911931212	5.34978987
JHH2	5.98572811	4.697662633
JHH1	6.349082146	5.442611804
HEP3B217	6.807097275	6.826039959
HUH6	6.050066298	6.232468896
SNU878	5.420886575	6.01368557
JHH5	7.014690038	6.742006211
HEPG2	6.931446685	5.531381461
JHH7	6.150965784	6.871350841
PLCPRF5	5.898450233	6.737010678
