Gene	Myc.low_1	Myc.low_2	Myc.low_3	Myc.high_1	Myc.high_2	Myc.high_3
Rpl13a	7028.79444	6842.832988	6815.450144	11874.31019	12649.59181	10954.18617
Las1l	874.5296221	905.8420747	892.1588725	1214.357135	1355.39161	1305.713882
Uba52	17.18310529	7.842788525	13.40920149	23.60058037	33.93953143	26.15612744
Pnpt1	305.6783995	279.3993412	286.9569119	557.8318996	540.8428557	598.4521959
Rps27a	2866.865462	2811.639686	2794.477591	6315.300755	6499.96768	6259.68442
Isg20	126.6123548	133.3274049	120.6828134	733.7634987	788.272988	726.0940978
Rpl35a	802.1797051	835.2569779	818.8552377	1845.136283	1788.941753	1644.697294
Nip7	269.5034409	289.2028269	257.4566686	453.7747952	534.2739141	431.0529803
Nop10	405.1595354	357.8272265	382.6092159	756.2913254	741.1955734	642.39449
Rrp9	266.7903191	253.9102785	255.6687751	420.519432	491.5757939	442.5616764
Mtor	556.1899872	506.8402084	530.1104323	472.0116073	449.9724973	482.3189901
Pin4	175.4485488	152.9343762	140.3496423	161.9858016	194.8785998	200.8790588
Ddx51	235.1372303	247.0478385	223.4866915	303.5892838	341.5849615	291.9023823
Prkdc	428.6732584	439.1961574	447.8673298	354.0087055	320.7833132	329.5672058
Mrps16	165.5004352	153.9147248	177.0014597	223.1327598	210.2061301	170.5379509
Mrps28	161.8829394	184.3055303	153.7588438	245.6605865	257.2835447	224.942696
Rpl7l1	526.3456464	452.9210373	520.2770178	716.5994402	679.8854522	697.8454802
Mrpl35	150.1260778	173.5216961	134.9859617	204.8959477	193.7837762	193.5553431
Rps11	3012.46967	2897.91036	2873.144906	5742.450304	5740.160106	5377.699802
Sec61b	202.5797677	214.6963359	229.7443189	303.5892838	256.1887211	264.7000097
Rpl3l	2.713121889	1.960697131	5.363680596	4.291014612	3.284470783	7.323715684
Sart1	1125.04121	1106.813531	1153.191328	1217.575396	1334.589962	1324.546294
Cks2	245.9897179	250.9692328	207.3956497	366.8817493	433.5501434	433.1454705
Pop4	549.8593694	515.6633455	564.0804094	419.4466783	387.5675524	382.9257058
Gm3550	0	1.960697131	1.787893532	1.072753653	1.094823594	1.046245098
Zcchc4	196.2491499	216.657033	210.07749	228.4965281	229.9129548	219.7114705
Dap3	609.548051	560.7593796	555.1409417	780.9646594	845.2038149	773.1751272
Mtif3	426.8645105	480.3707972	472.0038925	622.1971187	619.6701545	604.7296665
Ipo9	1796.991064	1707.767201	1743.196194	1521.16468	1386.046671	1475.205588
Gnl3l	1060.830658	1083.285165	1039.660089	1362.397139	1354.296786	1433.355784
Mrpl48	344.5664799	358.807575	358.4726532	542.8133484	491.5757939	490.6889508
Mpv17l2	538.1025079	558.7986824	498.8222954	495.6121877	462.0155569	443.6079214
Rsl24d1	189.9185322	153.9147248	196.6682885	288.5707327	307.64543	267.838745
Riok1	158.2654435	138.2291478	137.667802	159.8402943	186.1200111	160.0755
Rps5	2836.116748	2958.691971	2801.629165	5790.724219	6389.390497	5713.544479
Nck1	458.5175992	484.2921914	418.3670865	367.954503	366.7659041	333.7521862
Spcs1	611.3567989	548.0148482	608.7777477	497.757695	524.4205017	463.4865783
Mcts1	147.412956	148.0326334	182.3651403	146.9672505	165.3183628	176.8154215
Nol11	521.8237766	503.8991627	527.428592	591.0872628	614.1960365	590.0822351
Noc4l	196.2491499	179.4037875	192.1985547	401.2098662	443.4035558	413.2668136
Wdr12	408.7770312	386.2573349	391.5486835	620.0516114	645.9459207	541.9549606
Fau	3924.982999	4013.547028	3839.50136	7405.218467	7881.635056	7094.588008
Hba-a1	0	0	0	1.072753653	0	2.092490196
Naa15	1371.935302	1450.915877	1494.678993	1538.328738	1665.226687	1619.587411
Rps20	2152.410032	2151.865102	2004.228649	4056.081562	4426.371792	3982.008842
Wdr75	310.2002693	281.3600383	320.0329422	479.5208829	485.0068523	487.5502156
Pih1d2	12.66123548	16.66592562	16.09104179	9.654782877	6.568941567	7.323715684
Mrps7	469.3700867	478.4101	485.413094	602.887553	657.9889803	589.03599
Cul4b	1202.817371	1287.197667	1091.509001	900.0403149	848.4882857	917.5569507
Rps29	1207.33924	1210.730479	1191.631039	2426.568763	2516.999444	2272.444352
