Gene	 Nornal control 1 	 Nornal control 2	 Nornal control 3	 Nornal control 4	 Myc Tumor 1 	 Myc Tumor 2	 Myc Tumor 3	 Myc Tumor 4
Rpl13a	12043.77466	11433.66258	12827.92319	9681.400192	46728.01071	47085.6557	46340.95001	48442.98015
Las1l	3178.212779	3004.689089	3198.101474	3173.809893	6067.977413	7347.307804	9033.065784	8312.115582
Uba52	36611.26494	36434.05623	32249.74203	31607.95331	93780.47722	73222.52988	94826.32468	95950.32017
Pnpt1	2503.967289	2250.453438	2565.45677	1709.075008	4350.604028	4614.63236	4737.794801	5275.163154
Rps27	20311.37096	19728.58685	18229.65958	18471.32835	71368.5084	59351.62871	68177.11827	59228.3387
Isg20	688.8280108	711.6381286	573.241799	641.3641926	5120.255191	5042.767517	1534.975592	4059.257091
Rpl35a	14961.84013	14930.76018	16681.94631	14704.80467	40510.26775	31259.34655	35144.2245	31129.61255
Nip7	2646.738597	2563.679147	2617.547496	1850.885584	16797.97843	13998.64919	14442.17091	14292.79057
Nola3	7548.634613	8533.96217	9748.739656	5812.729267	24104.25132	16136.0518	20353.65121	18535.45616
Rnu3ip2	514.8470172	500.7684984	570.0718685	565.7418162	2031.035865	1765.66998	2078.028895	1879.326479
Frap1	935.763405	841.0221576	735.7133704	819.7271661	610.5645426	595.9303856	504.9511447	585.6926583
Pin4	2344.395081	2233.359836	2621.178704	2427.069995	2302.523236	2292.967196	2561.902756	2428.752895
Nr0b1	58.76967439	61.64876122	60.8000245	55.3303828	78.62956675	51.91213796	55.94743171	56.80712559
Apod	55.63805185	58.04098105	51.51783281	57.68002961	58.64759326	60.88436969	58.40419127	62.37949638
Ddx51	1119.004405	1356.807185	1229.62271	59.83841266	3272.09745	2639.410443	2817.109644	2558.353665
Prkdc	306.9798179	350.9203981	276.0909905	285.6292665	366.3299891	263.9278896	307.6188287	299.6220522
Cdkn2a	421.9709875	339.4369946	403.101684	374.5462325	279.7511012	273.6143338	277.6262167	305.9177484
Suv39h1	231.6816545	222.3979994	236.5497785	249.8641308	968.7630302	724.5794101	1047.692769	984.3311907
Mrps9	2822.973753	3191.458118	2890.292927	2679.96789	6042.793808	5356.221844	7161.271258	5483.951133
Mrps24	7728.646151	7191.116166	7522.518322	6746.857613	9248.476404	7444.71033	6965.445919	7912.950407
Mrps14	2231.812326	2070.839462	2427.069995	1885.851028	2413.648707	2633.927646	3521.562568	2840.639425
Mrps25	400.3172573	450.3803269	574.435062	524.209613	1520.152136	1388.200271	1743.777193	1781.652178
Mrps23	769.0854026	1205.152499	1286.289798	1164.907753	1315.139388	1451.169174	1812.79491	1493.001604
Mrps22	1518.046218	1780.417659	2272.398279	1687.88395	2795.711934	3180.416512	4042.410172	3918.267016
Rbm3	1639.454332	2117.285348	1083.88802	1218.592457	15318.63364	13901.95346	21799.38781	13437.71298
D030041N04Rik	80.84014476	84.15633665	96.13567532	96.87147475	57.16261455	76.69177737	76.21483836	72.15362638
Xrcc5	2291.378383	2130.534946	2201.086306	1730.532115	5014.881863	4500.906875	4359.660267	4544.796558
Eif3s8	268.9138033	341.0879552	345.3702488	295.2923149	468.8556474	551.0349439	590.1754096	601.3245293
Eif3s3	12783.54195	12625.03704	11441.59054	9836.981678	25995.96337	21739.03078	27746.1504	27554.49374
Rexo4	68.02532316	64.4451552	65.11870029	64.84844161	58.93284462	63.42589205	59.30163596	64.4005007
Rpl18a	16997.08824	18369.18502	16891.38494	14392.20479	87804.05817	87197.55124	89897.9128	65900.4182
Wdsof1	695.0630297	786.8800928	916.5056726	686.9208191	927.3691986	1022.581418	1241.613127	1108.198036
Nol10	68.83164099	68.78394706	66.90304641	71.16026608	80.11497335	75.00942616	85.09485492	73.56767027
A230050P20Rik	1997.527985	1868.934121	1332.57406	1794.044549	1484.745557	1236.460126	1584.706553	1287.181696
Npm1	3204.758658	3735.278246	3600.546041	3858.969698	40763.77386	41822.7411	52389.8605	48712.35123
Mybbp1a	769.0854026	597.5849481	605.087512	598.4139513	2608.491469	2304.119777	2691.136772	2420.350048
Sdccag1	1742.568918	1821.612019	1071.190978	777.6623052	3336.222978	2449.038944	2868.339345	1485.775061
Mrpl47	1326.124031	1069.707021	1423.276257	1240.752804	1933.501274	2178.319714	2531.891734	2363.976535
Rpl15	9857.458389	10022.81403	10477.44988	9039.329198	55415.42543	53825.41808	51240.60893	52571.74492
Rpl35	13959.89045	13097.46512	10831.90973	11473.35738	79905.10185	75752.1912	90272.56624	82722.94918
Canx	10734.74276	12085.58762	9667.988221	12748.14753	19976.27546	20998.51959	23042.34619	20940.37997
Nup88	3763.867171	4314.566803	3722.355165	3937.324763	7357.500399	8051.266343	8647.096055	8539.879513
Rpl5	13298.72209	17366.2664	16124.87102	16520.84662	66820.35375	92297.24725	104634.5661	100302.6363
Tfb2m	1117.45421	1174.637593	1366.244526	1543.510947	1125.226719	1116.679918	1456.207268	1348.369328
Gfm2	2442.258171	2953.070329	2365.615687	2753.402868	1937.52606	1586.904947	2118.753447	1747.407049
Chd7	1560.724306	926.726618	1037.575066	984.3311907	2628.456238	1339.983945	1483.716766	1420.319712
Rps15a	8231.844417	8551.726509	8163.657833	8451.548605	44268.7188	50116.56795	51382.8752	50116.56795
0610007P22Rik	2033.853431	1657.737659	1657.737659	1557.482243	2815.157649	2633.927646	2337.90404	2554.809491
Rpp30	514.8470172	711.6381286	761.130488	593.8686231	1334.422681	1531.787017	1726.937314	1529.66498
Wdr3	1457.216984	1198.488209	1435.164108	1063.054613	4777.367019	4432.792144	4714.862556	4507.150784
Gtpbp4	1872.824503	1485.775061	987.0641231	691.2194484	4008.9258	2880.293273	2709.855109	2133.490543
Mrpl44	3368.755481	3202.538058	3650.807791	3683.853567	3766.476989	4014.487205	4193.676904	4675.80808
Frg1	1099.780579	1294.339173	1128.350839	1347.435034	1124.447041	1092.941146	1305.150082	1332.57406
Larp5	1301.53645	822.003086	803.9711935	552.5648571	1178.715639	789.6119426	717.0848363	707.7028897
Nhp2l1	1863.759512	1747.407049	2624.814949	1922.809339	6343.221476	6826.829473	7009.03445	7181.154069
1500031M22Rik	555.6374384	644.4836728	587.3187964	552.5648571	2238.00881	1960.491946	2291.378383	2096.838452
Eif2s1	2490.120772	1341.842846	3458.666035	2442.258171	4994.068865	7491.298013	8767.805018	7606.410054
Exod1	508.4633577	429.9425244	426.6768421	372.9917732	1057.1761	846.2851258	952.7804495	962.7383834
Eif5a	8001.196269	10078.5467	7929.422044	9351.616161	24406.87556	22088.38012	30764.94942	22630.80056
Gltscr2	1115.906163	1344.636032	1455.198252	1428.217514	1929.484849	1865.051819	2247.335808	1985.105545
Srp72	2411.976273	2928.609252	2730.595691	2466.073357	3590.577035	3580.635629	3658.407331	3269.830191
Stau2	311.9130275	279.9450771	233.6167651	244.5524317	242.6949031	234.4278237	186.1084822	195.6321947
Eif3s12	1103.598741	1283.617813	1401.737025	1266.823658	2951.024126	3345.485788	4020.056326	3696.64298
Rpl21	7261.23888	3013.031416	5622.51543	1964.572916	3458.666035	3528.89307	3233.76696	4797.276902
Rps28	19309.18966	16635.7582	15891.85594	11245.03086	67052.33722	66312.81138	70728.30171	67941.24336
1810022K09Rik	3465.865612	3130.115115	3531.33996	2633.927646	9721.747846	6409.517316	5095.471732	6544.1949
Nol5	1734.1344	1589.10639	1566.142749	1080.887007	10506.53985	10397.8671	11105.60217	12068.84504
Rrn3	971.4527387	996.6892791	840.4394074	925.4427922	1484.745557	1370.037816	1633.782251	1797.779042
Mrpl40	4130.211655	3285.734057	3628.103758	3317.774228	8504.436904	5972.006416	7377.928027	6907.749255
Rpusd2	60.21287088	58.04098105	55.71523605	59.01459955	55.63805185	62.16367971	68.26148997	63.60198997
Hspa14	4031.217754	4938.988862	5238.724941	4956.135789	11489.27386	10043.67757	12093.96761	11245.03086
Ppargc1a	583.2618891	300.4539336	265.2115875	210.6932084	348.7380569	298.3785467	369.3897438	212.8952572
Exosc8	1929.484849	2169.279149	2091.032833	2010.028163	7951.437576	10008.92909	10064.58454	10616.34839
Helb	595.104823	462.4007732	448.5111373	443.8720325	416.7389108	289.2152869	347.2907078	341.3244613
Rpl9	16647.29322	19797.07955	17438.64107	16973.5416	59351.62871	71616.28191	86355.47332	85640.16768
Rpl24	5881.628716	5356.221844	5869.41092	4718.131783	15107.73748	12144.36974	14542.62415	13805.92565
Znhit3	522.7582084	662.1434531	647.1695864	631.2203906	1660.037366	1555.32461	1704.343009	1569.402839
Nol9	587.7260359	585.6926583	412.428437	472.7717431	2151.310426	1456.207268	1777.951186	1668.111489
Pop5	18254.94878	17390.35786	18369.18502	16589.69796	34949.88287	25337.73599	27630.99702	29758.20735
Mphosph10	750.1316478	838.1124419	689.7835914	688.8280108	2196.514031	1734.1344	2205.668098	2234.90842
Rps8	5808.701586	6281.964174	5386.005546	5311.854816	28526.20086	27939.14013	30257.39156	28016.71137
Rps6	9884.82699	8767.805018	9864.293427	9210.092944	24936.99491	35585.45347	40202.56693	43267.61565
Ftsj2	356.3126763	558.7271051	563.7844982	580.4387393	494.2167167	563.393848	571.258533	593.0459168
Rps24	12970.98123	13447.03052	11714.43701	11284.07078	59971.93908	56111.15542	59971.93908	56619.05305
Rps18	17294.19211	14848.1956	12677.65243	129.3377852	85166.592	69128.83537	6817.372035	73222.52988
Rps16	27900.4351	28329.156	25709.25172	22693.63353	148489.3566	120276.8947	136448.7829	138161.871
Rps12	106.8912537	130.0569783	106.5952987	111.4304721	477.3818811	563.393848	852.7623894	632.5343422
Bms1l	657.5696942	874.9155747	666.28703	697.4761137	1555.32461	1656.589001	2745.779388	2052.263127
Riok2	1945.600784	1400.765751	1442.144488	1176.267116	1982.355511	1896.337454	1979.609287	1892.398228
Srp19	4519.664599	4887.903203	5400.959445	5464.978103	17282.20884	12598.81129	13767.70052	12572.64002
Rsl1d1	355.0799281	481.702967	459.8437749	426.9726944	1089.159857	1552.093764	1757.123646	1520.152136
Eif2ak4	421.6786008	477.3818811	442.029854	530.7909637	663.5217743	603.4121768	709.6677815	672.3180162
AA408296	369.3897438	487.0749575	390.7223575	423.1425629	794.5531948	908.2842165	1176.267116	998.071942
Ddx56	1723.34998	1944.252664	1603.490399	1476.535164	4952.701648	4823.952546	5881.628716	5145.159193
Snca	893.9188133	1022.581418	380.3015477	727.5991261	430.2406411	664.4422487	2031.035865	4800.603274
Mrps6	3324.680524	3156.25926	3722.355165	3380.450953	4067.706861	4442.019467	3829.65841	4222.846234
Nop17	2324.975825	2840.639425	2793.774766	2870.328216	3278.908664	3288.012344	3413.414737	3555.902372
Mrpl52	10176.8256	9905.403296	10043.67757	8749.591823	16259.55327	13243.52911	13447.03052	12783.54195
Rasl2-9	5049.763125	5419.710218	4411.336197	4127.349803	45198.89869	49701.43893	58697.03464	55338.65656
Mrpl19	570.0718685	602.9940683	688.350717	636.9339665	1557.482243	1130.699619	1407.578824	1201.815735
4921505C17Rik	66.48698261	68.78394706	62.24991663	66.94943615	87.60856404	65.57163667	62.46603269	66.85668882
Mrpl38	4901.474153	4525.93453	4485.33492	5148.726782	5845.051415	5249.629897	6277.611357	6598.854992
Mrpl37	1179.532946	1744.986307	1628.129794	1833.011345	1666.955643	2078.028895	2202.612512	2207.197481
Nob1	405.6242232	292.0355113	307.8321277	311.4809238	1233.036678	866.4664029	1103.598741	1127.568996
Mrps30	3573.197643	3959.218574	4249.27206	3832.313847	9581.262144	7956.951003	9267.72808	9416.661795
Cpeb4	1865.051819	1114.36026	1000.149534	1040.455826	820.2955547	546.0919198	623.3938016	740.8306616
Ddx54	6580.584421	6557.817329	6553.273371	6251.55772	13568.74812	10757.08826	12152.7905	12152.7905
Rpusd4	1341.842846	1384.356693	1664.646353	1686.714403	4669.330525	3499.662299	3195.885487	3975.718788
Ddx28	1843.203952	1934.84194	1797.779042	1861.177582	2057.961104	1908.204399	2079.469775	2000.299067
Btf3	9789.36795	9715.011579	8804.345224	8908.704898	24288.73949	23267.03896	25888.07371	26763.8863
Exosc10	660.7679951	832.9002989	769.0854026	781.986559	1494.036833	1140.934298	1510.698452	1258.9454
