GeneName	Myc low 1	Myc low 2	Myc low 3	Myc high 1	Myc high 2	Myc high 3
Mecom	24.418097	18.62662275	19.66682885	4.291014612	0	4.184980391
Prdm2	636.6792699	641.1479619	646.3235118	246.7333402	247.4301323	293.9948725
Pcmtd1	487.457566	475.4690543	514.9133372	262.824645	278.085193	256.330049
Ezh1	359.0364633	383.3162892	359.3665999	234.93305	195.9734234	231.2201666
Prmt2	432.2907543	408.8053519	432.6702348	263.8973986	263.8524863	287.7174019
Icmt	668.3323586	641.1479619	684.7632228	404.4281272	446.6880265	453.0241273
Cxxc1	341.853358	344.1023465	342.3816114	248.8788475	243.050838	270.9774803
Ash1l	1126.849958	1071.520982	1113.85767	881.8035028	761.9972217	875.7071468
Nsun3	231.5197345	230.3819129	249.4111477	185.586382	198.1630706	170.5379509
Thumpd3	404.2551614	447.0389459	381.7152691	333.6263861	356.9124918	293.9948725
Suv420h1	529.9631423	529.3882255	553.3530482	480.5936365	437.9294378	487.5502156
Setd8	1820.504787	1709.727899	1764.650916	1970.648461	1882.001759	1969.033274
Ehmt1	790.4228436	842.1194179	852.8252148	945.0959683	952.4965272	913.3719703
Whsc1	2113.521951	2205.784273	2174.972482	2529.553114	2238.914251	2583.179146
Kmt2c	703.6029431	625.4623849	712.4755725	834.602342	711.6353364	771.082637
Prmt3	510.971289	465.6655687	516.7012308	567.4866824	601.0581534	560.7873724
Pcmt1	452.1869814	445.0782488	430.8823412	497.757695	522.2308546	519.9838136
Dot1l	720.7860484	690.1653902	701.7482113	836.7478493	828.781461	826.5336272
Nsd1	337.3314882	318.6132838	360.2605467	426.9559539	400.7054356	399.6656273
Wdr82	581.5124581	578.4056537	538.1559532	724.1087158	660.1786275	677.9668233
Tfb2m	198.9622718	205.8731988	212.7593303	232.7875427	262.7576627	259.4687842
Mettl16	705.411691	719.5758472	751.8092302	895.7493003	876.9536992	899.7707841
Dnmt1	1444.285219	1389.153918	1357.905138	1746.442947	1718.873043	1860.223784
Ash2l	511.875663	531.3489226	528.3225387	623.2698724	665.6527454	710.4004214
Fam103a1	227.9022386	238.2247015	198.4561821	259.606384	252.9042503	335.8446764
Setd6	209.8147594	198.0304103	202.9259159	243.5150792	279.1800166	259.4687842
Dph5	134.7517205	142.150542	119.7888666	169.4950772	175.1717751	173.6766862
Eed	333.7139923	349.9844379	359.3665999	463.4295781	460.9207333	467.6715587
Setd5	942.3576693	980.3485657	952.0533058	1316.268732	1259.047134	1296.297676
Trmt2b	288.4952942	278.4189926	302.1540069	385.1185614	398.5157884	396.526892
Coq5	247.7984658	232.3426101	252.092988	331.4808788	349.2487266	317.0122646
Trmt1	444.9519897	407.8250033	421.0489268	582.5052336	624.0494488	528.3537744
Rrp8	217.0497511	196.0697131	211.8653836	255.3153694	340.4901379	260.5150293
1700052N19Rik	199.8666458	162.7378619	174.3196194	266.0429059	228.8181312	245.867598
Cmtr2	113.9511193	84.30997665	92.0765169	142.6762358	136.8529493	123.4569215
Wdr4	170.022305	212.7356387	196.6682885	242.4423256	290.1282525	266.7924999
Suz12	1437.954601	1397.977055	1374.890126	1970.648461	1885.28623	2001.466872
Rnmtl1	69.63679514	55.87986824	50.0610189	96.54782877	73.35318083	80.56087253
Ftsj1	208.9103854	197.0500617	185.9409273	286.4252254	297.7920177	258.4225391
Ftsj3	802.1797051	779.3771097	699.066371	1021.261478	1083.875359	1139.360911
Lcmt1	325.5746266	266.6548099	238.6837865	388.3368224	405.0847299	402.8043626
Mettl15	56.0711857	47.05673115	61.68232686	77.23826302	77.73247521	91.0233235
N6amt2	70.5411691	78.42788525	71.51574128	111.5663799	111.6720066	104.6245098
Coq3	68.73242118	71.56544529	68.83390098	115.8573945	96.34447631	100.4395294
Suv39h1	409.6814052	343.121998	382.6092159	602.887553	556.170386	534.631245
Mettl10	97.67238799	105.8776451	101.0159846	153.4037724	156.559774	147.5205588
Fam86	381.6458123	341.1613008	347.745292	520.2855217	541.9376793	543.0012057
Men1	492.8838098	532.3292712	469.3220522	726.2542231	758.712751	786.7763135
Dnmt3a	528.1543943	566.641471	550.6712079	839.9661103	852.8675801	844.3197939
Vcpkmt	117.5686152	107.8383422	110.849399	172.7133381	198.1630706	161.1217451
