GeneSymbol	 Normal liver 1 	 Normal liver 2	 Normal liver 3	 Normal liver 4	 Myc tumor 1 	 Myc tumor 2	 Myc tumor 3	 Myc tumor 4
Tpmt	5275.163154	6273.261556	6212.679866	7151.350507	1192.687193	2099.747303	1254.58978	1770.57225
Icmt	2036.674905	2149.819768	1940.213905	2256.701677	1186.091834	985.0137136	1112.816499	863.4686569
Setd3	8810.450047	7967.989329	8260.42331	9165.513532	5947.221114	5922.538678	5614.726369	6161.218566
3300001M20Rik	436.5490646	442.029854	439.8903065	431.1362322	915.8706194	708.6846546	852.7623894	809.0023033
Men1	389.1007632	362.7922935	411.001543	429.3469104	734.185087	582.4538767	683.5959313	645.8252333
Mrm1	614.3853478	515.9187253	569.2821286	600.491494	952.7804495	1009.902289	1126.787696	1250.249229
Wbscr22	3883.118449	3352.449768	3456.269501	3099.887192	4362.683201	4176.27211	4353.620682	4284.763913
Carm1	471.462757	437.7611151	507.7589661	524.9368258	1007.106124	775.5091537	876.1293063	1007.106124
Lcmt1	1771.799942	1639.454332	1779.183995	1646.286829	3387.487717	3004.689089	2953.070329	3730.103638
Mettl6	917.1411662	836.3714469	718.5775237	742.8875304	1961.851327	1428.217514	1711.445932	1732.932806
1500003O22Rik	630.3459396	613.5342189	498.3446396	516.2764569	1233.891651	1034.702281	1394.952227	1116.679918
2410091C18Rik	2696.738656	2813.207006	2856.435029	2592.269504	4701.808287	4891.292414	5568.218079	6097.490965
2410075D05Rik	621.2370228	601.3245293	693.6191885	601.7414802	1044.791971	1264.192109	1408.554822	1282.728385
Wdr5	2336.28409	2048	1747.407049	2182.854115	5348.801688	4222.846234	5841.001338	4840.700096
0610039J04Rik	2398.638451	1720.962565	2360.701638	2385.374385	5039.273348	4396.074133	6122.902522	5004.464544
Rnmtl1	625.5580681	686.9208191	706.7224849	688.8280108	1065.267473	884.6727039	1100.543153	1031.122483
Ftsj1	1454.189935	1701.981925	1830.472013	1509.651679	2540.681826	2514.402681	3165.022411	2730.595691
Dph5	1737.744183	1684.377741	1553.169966	1394.952227	4014.487205	3961.963846	4595.480496	4208.236296
Prmt6	147.4416182	158.2432334	143.2111489	135.6739563	368.1117524	314.73635	330.6130817	324.9333468
Trmt1	2615.733779	2264.536378	2661.456	2551.270227	6063.772869	5130.913541	6571.468115	5955.471431
Dnmt3a	163.3700824	156.2811536	133.1584341	175.0957189	428.4550363	369.6458741	408.162548	474.4130877
Mett10d	1734.1344	1731.732045	2093.933631	1811.538812	3254.003303	3578.154582	2936.740348	4017.2708
2510005D08Rik	1467.35273	1811.538812	1661.188415	1922.809339	3829.65841	3583.118397	3763.867171	3782.173945
Whsc1	211.1317884	210.8393004	199.7428429	222.3979994	594.2804042	491.1432291	546.8494889	613.5342189
5730409G15Rik	269.8474044	302.9634616	307.1926739	263.5622614	1017.63184	898.2666739	1015.517932	968.0917676
Ftsj3	1510.698452	1590.208256	1196.827903	1221.129085	3992.287768	4359.660267	6356.425558	4601.855603
Ezh2	335.2282683	356.5597391	326.0614337	391.2643893	1161.682417	1104.363962	1595.729059	1291.650467
Prmt3	254.9375368	290.0182746	309.3293679	256.8887676	798.9713717	829.443557	1007.804439	851.5810287
Suv39h1	231.6816545	222.3979994	236.5497785	249.8641308	968.7630302	724.5794101	1047.692769	984.3311907
Suz12	1173.010328	835.2127932	742.3727784	671.8521624	3019.303357	2286.618546	2569.015715	2365.615687
Suv39h2	53.44562684	62.5960623	65.11870029	66.94943615	253.1765546	237.3710199	307.1926739	263.7450121
Nsun2	7858.291666	9197.33389	8575.46983	9058.145512	32026.97679	30467.84836	41822.7411	35536.15573
1500031M22Rik	555.6374384	644.4836728	587.3187964	552.5648571	2238.00881	1960.491946	2291.378383	2096.838452
Wdr4	1932.161538	1691.397458	1509.651679	1526.487436	6751.5358	5728.731475	7424.097798	5800.654595
Prmt5	1316.963823	1403.681592	1227.919272	1118.229039	4463.624652	4448.181683	5326.60284	4870.992343
Dnmt1	593.8686231	523.4834077	489.4440026	598.4139513	2753.402868	1787.837627	2352.534231	2561.902756
Nop2	3283.457349	3420.520118	2942.853482	3263.037834	17829.76416	14412.17046	15640.5107	15608.02096
Prmt1	1477.558975	1827.936198	1323.369299	1936.183535	10369.07802	17904.07048	17854.49861	8096.036057
Fbl	10036.71824	8859.441262	9429.725113	10113.53688	108926.8432	83587.52365	106242.3914	101140.4096
