GeneName	Myc low_1	Myc low_2	Myc low_3	Myc high_1	Myc high_2	Myc high_3
Mthfd2l	0.724580891	0.910523333	0.743598381	1.116784412	1.089476667	1.174614319
Mtr	0.894353021	0.801624289	0.84655551	1.24080201	1.105646979	1.217452882
Txn2	0.740526958	0.801450672	0.731988874	1.209209078	1.222593103	1.198549328
Tyw1	0.974079708	0.908013938	1.017734341	0.991719133	1.008280867	1.031449159
Mthfr	1.169003149	0.953114242	1.046885758	1.102210946	0.919262427	0.890032633
Msrb3	1.438973037	1.453435138	1.422382052	0.479125996	0.455025974	0.577617948
Naa60	1.105397959	1.116799506	1.159745737	0.848257647	0.83342832	0.894602041
Suv39h2	0.715003952	0.742088268	0.827059741	1.172940259	1.528568039	1.434344852
Pcif1	0.989850498	0.949072007	1.069144017	1.001056351	1.054431505	0.998943649
Msrb1	1.243926452	1.015164944	1.05660096	0.953761588	0.984835056	0.853589253
Mat2a	1.201934493	1.154676221	1.207484985	0.776074791	0.820055424	0.845323779
Mettl3	1.054368178	1.12435904	1.28793627	0.945631822	0.902822822	0.882597252
Pdf	0.991936817	1.008063183	0.811976598	0.900849139	1.313403514	1.308917523
Naa20	0.791298267	0.799342167	0.805618735	1.194381265	1.315530085	1.237203707
Mri1	0.868174856	0.845564441	0.731836164	1.26505176	1.237727557	1.131825144
Enoph1	0.831779484	0.825726683	0.80776491	1.20128145	1.229528744	1.168220516
Mat2b	0.931787865	0.873480812	0.932093111	1.067906889	1.102178214	1.110874273
Msra	1.554373439	1.56014182	1.024301278	0.68287868	0.975698722	0.799205077
Msrb2	0.998156455	1.082009533	0.721011978	1.001843545	1.301305906	0.932674176
Metap1d	0.759190321	0.800108112	0.708746106	1.550928593	1.199891888	1.829762871
Naa35	0.957701707	1.00338548	0.944394919	1.076220145	1.020699486	0.99661452
B630005N14Rik	0.995641509	0.961463974	0.93641292	1.031397434	1.007133116	1.004358491
Mettl5	0.78367177	0.828849737	0.795826895	1.240380061	1.205343094	1.171150263
Mtap	0.863398461	0.8911851	0.881495137	1.1088149	1.139955175	1.112255973
Tpmt	1.101053254	1.360092408	1.240222358	0.850452089	0.898946746	0.592454838
Zcchc4	0.899465238	0.993000325	0.962844423	1.047264073	1.053755956	1.006999675
Rpl5	0.618773352	0.656516773	0.629703153	1.39547435	1.39946787	1.343483227
Apip	0.96985046	1.099113137	1.19833542	1.03014954	0.91792382	0.923094271
Mtrr	1.022340557	1.021191892	0.978808108	0.825386814	1.023800666	0.860721019
Prmt1	0.788974886	0.79832239	0.897552142	1.161529905	1.14586495	1.102447858
Slc25a26	0.990041185	1.244926518	1.350504249	1.009958815	0.958824993	0.9162809
Naa15	0.904669835	0.95675053	0.985608429	1.014391571	1.09806953	1.067974469
Rsad1	0.811046378	0.976867468	0.967124397	1.023132532	1.12210561	1.265929297
Mars2	0.795730148	0.821665025	0.842516063	1.175189214	1.157483937	1.186173663
Mfsd5	1.096292947	1.048304973	1.215649996	0.942729626	0.951695027	0.792357811
Mthfd1	0.833351801	0.905652769	0.913644408	1.086355592	1.156501751	1.22182245
Suv420h1	1.042271825	1.041141143	1.088272458	0.945177441	0.861270299	0.958858857
Suv420h2	0.729625208	0.57680319	0.82481245	1.281468694	1.224873037	1.17518755
Adi1	1.008830278	1.049019905	1.000584801	0.889874733	0.999415199	0.921385031
Slc38a7	1.202353644	1.281270046	1.235493281	0.624471484	0.736000468	0.797646356
Mars	0.747678317	0.783225076	0.739811152	1.259356961	1.232674281	1.216774924
Naa30	0.968785261	0.939626617	0.972439187	1.08511756	1.027560813	1.058303483
Rsad2	0.488949138	0.757178219	0.069044526	1.242821781	1.691187417	1.292918095
Metap1	0.981463183	1.059887729	1.0068604	0.993476308	0.992557846	1.006523692
Naa16	0.672370591	0.566101022	0.535566229	1.564137059	1.327629409	1.533037958
Metap2	0.799742953	0.771037294	0.76687784	1.200257047	1.243526544	1.282331919
Naa25	0.798331769	0.825821857	0.773489019	1.214024692	1.174178143	1.245971846
