GeneSymbol	 Normal Control 1 	 Normal Control 2	 Normal Control 3	 Normal Control 4	 Myc Tumor 1 	 Myc Tumor 2	 Myc Tumor 3	 Myc Tumor 4
Adi1	1.279648309	1.426764636	1.64575247	1.567806338	0.717846539	1.018712789	1.077544434	0.981287211
Rsad2	1.063338065	0.936661935	0.646445362	0.734380849	0.363140651	0.597744287	1.102363742	2.56792015
Msra	2.405739622	2.244634437	2.317357305	2.487127565	0.350984811	0.524305834	0.390523293	0.371254522
Mtr	0.774394207	0.785204347	0.756881876	0.931830893	2.734240348	2.093823835	2.574228404	2.94882471
Txn2	1.081770104	1.039142806	1.048548746	0.960857194	1.275792704	0.958861223	1.295396663	1.088539631
Slc25a26	1.026333503	0.973666497	1.285651482	0.948355324	1.275002084	1.264440899	1.378882578	1.439431969
Narg1	1.061266695	0.753556322	0.562446294	0.750949215	2.798758975	1.69206765	1.902355997	1.855473311
BC031853	1.101902734	1.013957288	1.2780966	1.36319966	0.83277397	0.836244592	0.802735653	1.017477492
Mars	0.984405453	1.111358716	0.973548363	0.909612859	1.02692054	1.298030744	1.414531745	1.162575616
Nat12	1.039369444	0.86556169	1.020098561	0.979901439	1.485252844	1.256759462	1.16692234	1.410013085
Mars2	0.589942045	0.688555637	0.614568249	0.577000765	3.651894627	2.396028615	2.589448988	2.742791845
Apoa2	1.703904284	1.565739599	1.642444129	1.607528478	1.030142768	1.180046979	0.937469913	0.969857232
Apoa1	1.038796759	1.090442289	0.961203241	0.953902301	0.402458915	0.902446566	0.412914051	0.61043662
Mat1a	1.212538546	1.204997881	1.525234014	1.375571004	0.458829676	0.650233869	0.397776682	0.398328499
Apip	1.814591917	1.65938096	2.298424279	1.902168615	0.734403652	1.022177073	0.792589158	0.977822927
Rsad1	0.900786201	0.860505687	0.906423162	1.018366335	1.065297686	1.028296728	1.144927807	1.085422434
Bhmt2	1.995113493	2.058325031	2.085612041	2.008990605	0.565841861	1.469648168	0.765498161	0.885442678
Rpl5	0.313460238	0.40933512	0.380074557	0.389407981	1.575002761	2.175511069	2.466310356	2.364203723
Mtrr	0.810003474	1	0.817902059	1	1.314031627	1.059952783	1.437936533	1.044635763
Prmt1	0.508020682	0.628488886	0.455006524	0.665706951	3.565141005	6.155854522	6.138810508	2.783613941
Mthfr	1.498533034	1.673131556	0.815949001	0.554996619	1.280361221	0.975051879	1.024948121	1.043587007
1200013P24Rik	1.78942116	1.799371381	2.132422015	2.145766336	0.812529998	0.996880848	1.003119152	1.037774493
Suv39h2	0.736574417	0.862683457	0.89744983	0.922680579	3.489216691	3.271388718	4.233653494	3.63486856
Gnmt	3.161948651	3.321451709	3.041565217	3.337606653	0.311178424	0.666563368	1.251635028	0.537305287
Mettl3	0.843814985	1.001386293	1.220945339	1.003470784	0.998613707	1.12896332	1.18591336	1.224335216
Mtap	0.94569978	0.958236828	1.007971024	0.992028976	1.748907717	1.734421044	2.068312483	1.708173084
Mthfd1	0.80328705	1.3004289	1.004158859	1.195809455	0.995841141	1.190846551	1.765390725	1.45093966
Narg1l	0.955348326	0.964664212	1.197560673	1.035335788	3.103935868	2.592059346	3.766171637	3.240235675
Cbs	2.646340337	3.084418687	2.820593211	3.175532672	0.559418013	0.7046597	1.001386293	0.810564341
Bhmt	1.664943617	1.516213927	1.184660213	1.581697074	0.139900529	0.584985724	0.19058062	0.234144868
Cth	3.003746428	2.194303417	1.814740203	1.686185231	0.728884955	0.914948869	1.728790474	1.085051131
Tpmt	1.067479149	1.269453799	1.257194521	1.447143402	0.241351532	0.424903723	0.253878106	0.358292038
Msrb3	0.801665088	1.215097054	0.931140999	1.068859001	0.48265745	0.552892747	0.595457956	0.514795573
Mat2b	1.045024106	0.954975894	0.905970652	1.048652167	1.078881356	1.114607852	1.539579346	1.165166576
Prmt8	0.964538867	1.020949339	1.0110899	1.01460015	1.173576005	0.957212591	0.9841235	0.977325662
Nat5	0.743169412	0.706500765	0.745232774	0.678190757	2.609481236	2.077376956	2.781307058	2.350166595
2410018C20Rik	0.979901439	0.836657207	0.781711708	0.618870111	1.575389485	1.363872282	1.424749762	1.409036077
2310057D15Rik	0.754789689	0.735168379	0.870639041	0.869432916	2.816974727	2.584968357	3.038052119	2.586760741
Msrb2	2.172716458	2.190863974	1.978627335	1.921855562	0.113165014	0.401507798	0.109841864	0.132356405
Sepx1	2.068666363	2.116530068	3.266398894	3.026606221	0.306657679	0.553134021	0.328667563	0.418906735
Mat2a	0.507681099	0.429578726	0.499998078	0.53292132	2.452060295	1.70290087	3.039838029	2.327844121
B630005N14Rik	1.175482961	1.119033811	1.15448836	1.145719299	1.049173757	0.838134467	0.706741057	0.942296916
Metap2	0.577443899	0.779031027	0.703563573	0.896734429	1.591903292	1.696724927	2.198855341	1.874820785
C330023M02Rik	0.924290006	1.029838056	0.971588614	1.028411386	2.06539467	1.94992345	2.500848198	1.941830787
Tyw1	0.996880848	1.003119152	0.987253842	1.084096349	1.056646629	1.250489533	1.183035185	1.327298613
Pcif1	1.029450237	0.838495003	0.909959406	0.817264	1.320307609	0.970549763	1.079134053	1.505115386
Metapl1	1.942699915	2.046364395	2.460690257	1.802579724	0.863975956	1.036028053	0.963971947	1.078527579
Mak10	0.950096936	1.089107695	1.140089133	1.324223484	0.956705383	1.043294617	1.1282968	1.312344621
Mettl5	0.950826243	1.049173757	1.190240924	1.049901241	0.715118201	1.061609825	1.186945446	1.153688407
Zcchc4	1.013515547	0.892774806	1.132387885	1.120675208	1.133958796	1.047077494	0.986484453	1.123786691
D15Mgi27	0.805523517	1.015365125	0.974678694	1.001386293	0.984865497	0.955944399	0.998613707	0.914464211
Suv420h1	0.910354219	1.103816161	0.889767257	0.987943138	1.178947858	1.000346574	1.182221132	1.012905732
Suv420h2	1.077138756	0.940959222	0.950134795	1.049865205	1.51383095	1.19102534	1.358678492	1.534963242
Metap1	0.87987981	0.939769188	0.877443644	0.925547138	1.44731442	1.191169214	1.280208128	1.226356452
