Gene	 Normal Control 1 	 Normal Control 2	 Normal Control 3	 Normal Control 4	 Myc Tumor 1 	 Myc Tumor 2	 Myc Tumor 3	 Myc Tumor 4
Xbp1	4551.101353	6454.099035	7601.139519	7236.116902	3010.943665	4234.570696	3558.36799	4096
Wt1	84.33151691	83.74899657	92.09174912	94.35322991	79.01200684	77.60082042	74.8536105	74.38810288
Bcor	935.763405	1043.344585	1049.146187	760.0760682	2085.243289	1359.631522	1716.197652	1801.521307
D2Wsu81e	451.0051196	535.9668644	622.530193	653.9334447	2021.205086	1570.491044	2132.012232	1838.100584
0610039J04Rik	939.0121402	788.5180664	698.9279836	822.5730527	826.0011614	949.4840795	1272.103201	1054.980049
A530098C11Rik	58.76967439	59.87990386	76.37348755	55.3303828	57.80009665	54.41754624	62.46603269	59.01459955
Pwp1	794.0026433	834.0557446	898.8895208	752.7359162	1967.298281	2385.374385	2523.132054	2663.30142
Coq5	2123.163855	2239.560617	1990.617063	1713.820145	1480.63467	1494.036833	2015.608877	1493.001604
Rif1	312.779034	188.3144635	154.1295848	127.3804444	547.9878136	285.2335746	286.4222979	181.8997815
8030443D09Rik	64.89340671	74.43968266	66.90304641	68.40358344	57.16261455	68.4984767	62.46603269	66.85668882
Pax7	58.76967439	56.21954997	55.71523605	54.41754624	56.33657687	62.16367971	57.68002961	58.64759326
Pax5	63.3819438	59.87990386	63.6460908	56.80712559	73.87426672	63.42589205	63.29413865	71.75462899
5830415F09Rik	261.5603412	225.9719671	307.1926739	224.8781999	368.1117524	380.3015477	386.1452996	405.3431633
Ssty2	62.5960623	52.85617056	54.0416568	64.1776919	57.00434564	60.88436969	54.30450571	53.03967389
Satb1	61.81992505	68.78394706	63.6460908	64.1776919	56.76776353	62.16367971	57.68002961	66.02772348
2810422O20Rik	230.7201184	258.4963322	271.3479125	229.9218875	251.079425	280.916976	313.8649242	296.3174955
Setdb2	139.198514	108.3834	78.95725887	140.458488	93.5716767	78.62956675	70.96324119	81.79835924
Prmt3	192.4046692	333.3745125	273.0459599	321.1269644	544.2025853	853.9453889	965.4113648	910.1749055
Ing4	5427.228742	5077.842739	5618.61955	5828.867937	3953.733734	3304.004646	3095.592813	3912.838907
Phf1	546.0919198	500.7684984	591.8139938	655.749049	223.9448998	232.6471978	247.9662564	205.6432632
Aof1	1771.799942	1885.851028	2324.975825	2304.119777	1552.093764	1610.173014	1391.089955	1498.18493
Zcchc4	150.7485171	132.7897519	168.4293792	166.6872563	168.6630338	155.7404619	146.7279598	167.1500527
Setd3	8810.450047	7967.989329	8260.42331	9165.513532	5947.221114	5922.538678	5614.726369	6161.218566
Mettl2	359.0398082	415.8732269	412.428437	374.0273609	455.0874528	442.9499856	590.5846298	495.5888778
1200011O22Rik	670.4565366	727.5991261	714.1087572	841.6053118	1453.182317	1375.747508	1549.943596	1524.372741
Ccdc101	1095.975627	1380.523757	1491.967093	1603.490399	1665.800598	1295.236651	1796.533348	1502.344544
Rab3d	311.9130275	336.6253466	352.8717192	317.3651712	622.0988375	895.1589073	560.278375	698.4436915
Rag2	57.92041362	55.3303828	57.48047186	54.64433372	57.64006271	59.38390249	59.30163596	59.34275497
Hist1h1b	154.4504217	120.7600961	137.663282	122.9561426	683.1222629	297.3462354	278.2041248	302.3341213
