symbol	log2FC_MYC	padj_MYC
0610007P14Rik	0.049979184	0.829247928
0610009B22Rik	0.004458171	0.989466328
0610009O20Rik	0.076953864	0.701866884
0610010B08Rik	0.227235959	0.3494112
0610010F05Rik	0.284964927	0.140321733
0610010K14Rik	-0.046619835	0.885382042
0610011F06Rik	-0.228753795	0.136785806
0610012G03Rik	0.18104603	0.272121305
0610030E20Rik	-0.198532237	0.329858043
0610037L13Rik	0.156995668	0.334556984
0610038B21Rik	0.334706615	0.443761164
0610039K10Rik	0.284321005	0.532808807
0610040B10Rik	0.066072177	0.905883574
0610040J01Rik	0.006271007	0.982063072
1110001J03Rik	0.102567509	0.722945913
1110002L01Rik	0.088144143	0.826069456
1110004E09Rik	-0.347205297	0.126490807
1110004F10Rik	-0.009610786	0.969328532
1110006O24Rik	-0.411404053	0.315679006
1110007C09Rik	0.263724355	0.351176073
1110008F13Rik	0.125160614	0.599812254
1110008L16Rik	0.251745828	0.05871215
1110008P14Rik	-0.252023308	0.318726231
1110012L19Rik	0.09732827	0.7023583
1110017D15Rik	-0.194684378	NA
1110020A21Rik	-0.127260684	0.772460004
1110032A03Rik	-0.078713992	0.761024606
1110032F04Rik	-0.008208921	NA
1110034G24Rik	0.425232648	0.074297909
1110037F02Rik	-0.054912811	0.752218521
1110038B12Rik	-0.185763153	0.688567103
1110038F14Rik	0.140670259	0.588362117
1110051M20Rik	0.095305881	0.728067696
1110057K04Rik	-0.301684716	0.120038365
1110058L19Rik	0.096632056	0.752697062
1110059E24Rik	0.19012228	0.299991472
1110059G10Rik	-0.084212454	0.836037066
1110065P20Rik	0.23750034	0.344269405
1190002N15Rik	0.229339994	0.20550934
1190003K10Rik	NA	NA
1190005I06Rik	0.303612802	0.235808064
1190007I07Rik	0.117645992	0.669425435
1200014J11Rik	0.017360218	0.936275845
1300017J02Rik	0.090566812	0.814440935
1500004A13Rik	0.045982056	0.866989485
1500009C09Rik	-0.041815601	NA
1500009L16Rik	-0.042714014	NA
1500011B03Rik	0.142434324	0.726799634
1500011K16Rik	0.470382955	0.000919326
1500012F01Rik	0.274209621	0.419088322
1500015A07Rik	0.070505981	0.889217518
1500015O10Rik	-0.051939112	NA
1500017E21Rik	-0.358154342	0.305766998
1600002H07Rik	-0.106040054	0.82531035
1600002K03Rik	0.121458814	0.75230917
1600012H06Rik	0.114665997	0.444954367
1600014C10Rik	0.16177586	0.22991895
1600014K23Rik	-0.002672927	NA
1600015I10Rik	NA	NA
1600029I14Rik	0.3706393	NA
1600029O15Rik	-0.002936958	0.997160736
1700001C02Rik	-0.041815601	NA
1700001C19Rik	0.236050932	0.445563222
1700001F09Rik	NA	NA
1700001G17Rik	0.029893569	NA
1700001J03Rik	-0.127976632	NA
1700001J11Rik	-0.057689598	0.92472987
1700001K19Rik	0.264712693	0.570815466
