ID	Log2FoldChange	pvalue
1,2-dipalmitoylglycerol	0.992991119	0.001350876
1,3-dihydroxyacetone	0.280468438	0.375434209
1,3-dipalmitoylglycerol	0.67406701	0.092114478
1,5-anhydroglucitol	-0.260453144	0.308683767
1-arachidonoylglycerophosphocholine	0.816618221	0.075650562
1-arachidonoylglycerophosphoethanolamine	0.669840421	0.147773208
1-arachidonoylglycerophosphoinositol	2.226837427	4.7765E-06
1-eicosatrienoylglycerophosphocholine	1.881958565	0.000986609
1-linoleoylglycerophosphocholine	0.304487457	0.497543452
1-linoleoylglycerophosphoethanolamine	1.18341618	0.010007716
1-methylimidazoleacetate	-3.243200416	0.076425524
1-myristoylglycerophosphocholine	0.371497777	0.306253118
1-octadecanol	0.366991844	0.08145355
1-oleoylglycerol	1.511564061	2.59998E-05
1-oleoylglycerophosphocholine	0.715912675	0.244720938
1-oleoylglycerophosphoethanolamine	2.240960614	1.08217E-05
1-oleoylglycerophosphoinositol	2.459165223	0.001257575
1-palmitoleoylglycerophosphocholine	0.817231313	0.051924247
1-palmitoylglycerol 	0.464061719	0.057549221
1-palmitoylglycerophosphocholine	-0.161276218	0.724033204
1-palmitoylglycerophosphoethanolamine	0.06880885	0.861994855
1-palmitoylglycerophosphoinositol	-0.059157259	0.848934454
1-stearoylglycerol 	0.185617692	0.285990241
1-stearoylglycerophosphocholine	-1.036122899	0.005889749
1-stearoylglycerophosphoethanolamine	0.478196613	0.323039475
1-stearoylglycerophosphoinositol	0.797098996	0.010968416
10-heptadecenoate	0.58058029	0.00042492
10-nonadecenoate	0.541798486	0.020393749
12-dehydrocholate	-0.244091775	0.576929782
13-HODE-9-HODE	1.295174841	0.000165458
15-HETE	1.293763713	0.029145291
2'-deoxycytidine	2.317763318	3.92306E-06
2'-deoxyguanosine	1.444947546	0.00181866
2'-deoxyinosine	1.341698516	3.70227E-07
2,3-diphosphoglycerate	-0.041560822	0.337049058
2-aminoadipate	1.667779324	0.000390764
2-aminobutyrate	1.075780613	0.033414261
2-arachidonoylglycerophosphocholine	-0.831056583	0.08787231
2-arachidonoylglycerophosphoethanolamine	-0.224032116	0.64213082
2-deoxyribose	-0.174971265	0.408901847
2-docosahexaenoylglycerophosphocholine	-0.477454501	0.264582977
2-docosahexaenoylglycerophosphoethanolamine*	0.124794813	0.760904761
2-eicosatrienoylglycerophosphocholine	0.805585721	0.033004954
2-hydroxybutyrate 	0.129527838	0.74282306
2-hydroxyglutarate	1.41121187	0.030860764
2-hydroxyisobutyrate	-0.334903262	0.511073132
2-hydroxypalmitate	-1.404937756	0.018457877
2-linoleoylglycerophosphocholine	-0.623034823	0.061808007
2-linoleoylglycerophosphoethanolamine	0.174462331	0.421870437
2-methylbutyroylcarnitine	0.299135705	0.401515995
2-oleoylglycerol 	0.446269996	0.064943946
2-oleoylglycerophosphocholine	0.573856966	0.193805489
2-oleoylglycerophosphoethanolamine	1.269644555	0.036794561
2-palmitoleoylglycerophosphocholine	0.857905064	0.069364038
2-palmitoylglycerol 	0.432514576	0.065346184
2-palmitoylglycerophosphocholine	0.116973912	0.808360482
2-phosphoglycerate	-0.066679579	0.85061504
2-stearoylglycerophosphocholine	-1.001304348	0.084323793
3-(4-hydroxyphenyl)lactate	-2.209535066	0.114850279
3-aminoisobutyrate	1.773184526	0.000140341
3-dehydrocarnitine	0.99809284	0.017847706
3-hydroxybutyrate 	-0.759731452	0.500946546
3-methyl-2-oxovalerate	-0.416138848	0.049991606
3-phosphoglycerate	0.207365813	0.435170746
3-ureidopropionate	-1.974145784	0.017859331
4-guanidinobutanoate	0.477335661	0.388482963
4-methyl-2-oxopentanoate	-1.283506115	0.01094155
5-aminovalerate	1.727726612	0.000572689
5-methyltetrahydrofolate 	0.20678587	0.380189275
5-methylthioadenosine 	1.97110196	5.04157E-07
5-methyluridine 	0.747554966	0.00036046
5-oxoproline	1.873899639	0.000112704
6-phosphogluconate	0.608140889	0.00583202
7-alpha-hydroxycholesterol	0.651953153	0.072576754
7-beta-hydroxycholesterol	1.314937726	0.004100345
acetylcarnitine	1.099484491	0.000187827
acetylphosphate	-0.165048175	0.579186643
adenine	1.613856888	4.99869E-05
adenosine	-0.419866733	0.062958322
adenosine-2'-monophosphate 	-1.217270083	0.001994507
adenosine-3',5'-diphosphate	-0.661013821	0.01135382
adenosine-3'-monophosphate 	-0.8577434	0.006721032
adenosine-5'-monophosphate	-0.162601333	0.794157
adrenate	-0.630922315	0.164225337
alanine	0.328523047	0.055302018
allantoin	-1.307270955	0.035297672
allo-threonine	1.016540638	0.03572303
alpha-hydroxyisovalerate	-0.587750071	0.343511142
alpha-ketoglutarate	-1.55013444	0.104932509
alpha-tocopherol	0.247486176	0.523011888
arabitol	-1.815006895	0.074478746
arabonate	-1.259918006	0.230054333
arachidate 	-0.023449185	0.911705116
arachidonate 	0.286526547	0.217682166
arginine	-0.134631327	0.372526875
ascorbate 	3.811581913	0.007302958
asparagine	1.673310124	0.003124873
aspartate	1.118000185	4.94159E-05
azelate 	-0.28402	0.338129596
beta-alanine	-0.430188984	0.364081913
beta-hydroxypyruvate	-0.029243671	0.951764347
beta-muricholate	-1.266205015	0.242410414
beta-sitosterol	-0.261421528	0.4615607
betaine	1.486353737	9.71835E-05
betaine-aldehyde	0.452312535	0.474344194
biopterin	-1.014785895	3.03285E-05
C-glycosyltryptophan	0.014355492	0.917729072
campesterol	-0.214063729	0.502569009
caproate	-1.782463664	0.001613465
carnitine	1.398612452	6.35838E-09
catechol-sulfate	-1.28122381	0.049129943
cholate	-0.602569296	0.251049626
cholesterol	0.227379661	0.006853232
choline	-0.289639843	0.111511277
choline-phosphate	-2.658926888	8.00914E-06
cis-aconitate	-0.744693543	0.176087973
citrate	-1.368553219	0.200450885
citrulline	-1.38599414	0.00028664
corticosterone	-0.358900057	0.437433498
creatine	-0.744458016	0.000116429
cysteine	0.856653705	0.00071859
cysteine-glutathione-disulfide	-5.128568764	1.51264E-05
cytidine	1.4447203	0.000104877
cytidine-5'-diphosphocholine	1.891945861	1.59978E-05
cytidine-5'-monophosphate	0.731648409	0.035807335
cytidine-5'-diphosphoethanolamine	1.839778301	0.000280922
cytosine	1.639388178	0.013710255
daidzein	-0.560585337	0.315770091
dehydroascorbate	0.487703389	0.232841237
deoxycarnitine	0.271347028	0.433987252
dihomo-linoleate 	0.014136453	0.949342503
dihomo-linolenate 	0.573259027	0.042793077
dihydrobiopterin	1.792554567	0.001720928
dihydroxyacetone-phosphate 	-0.765986262	0.446682515
