ID	Log2FoldChange	pvalue
1,2-dipalmitoylglycerol	-0.831154244	0.000804878
1,3-dihydroxyacetone	-2.49412447	0.001608724
1,3-dipalmitoylglycerol	-1.249891313	0.000616527
1,5-anhydroglucitol 	0.796596042	0.00448763
1-arachidonoylglycerophosphocholine	0.21345954	0.628324302
1-arachidonoylglycerophosphoethanolamine	0.43552463	0.21829317
1-arachidonoylglycerophosphoinositol	0.48286129	0.041508275
1-eicosatrienoylglycerophosphocholine	0.949040337	0.021337892
1-linoleoylglycerophosphocholine	0.433229469	0.428245184
1-linoleoylglycerophosphoethanolamine	0.680263794	0.069283976
1-methylimidazoleacetate	-0.503131602	0.092880527
1-myristoylglycerophosphocholine	0.241901693	0.579584646
1-octadecanol	-0.005075795	0.975460004
1-oleoylglycerol 	0.359360529	0.123903581
1-oleoylglycerophosphocholine	0.489685326	0.433179091
1-oleoylglycerophosphoethanolamine	0.490500305	0.024945631
1-oleoylglycerophosphoinositol	1.251148554	0.012103747
1-palmitoleoylglycerophosphocholine	-0.01377327	0.969763834
1-palmitoylglycerol 	-0.797678024	0.001591827
1-palmitoylglycerophosphocholine	-0.142651165	0.789954961
1-palmitoylglycerophosphoethanolamine	-0.257013789	0.278352809
1-palmitoylglycerophosphoinositol	-1.635848756	0.000483228
1-stearoylglycerol 	-0.944808507	4.32915E-05
1-stearoylglycerophosphocholine	-0.321608195	0.440617008
1-stearoylglycerophosphoethanolamine	0.313320318	0.518726432
1-stearoylglycerophosphoinositol	-0.634564051	0.006068774
10-heptadecenoate 	-0.355911322	0.166536644
10-nonadecenoate 	0.270877094	0.184463905
12-dehydrocholate	-3.120249931	0.033987108
13-HODE-9-HODE	0.098439559	0.620887569
15-HETE	-0.110908633	0.783611977
2'-deoxycytidine	3.405791411	8.49171E-07
2'-deoxyguanosine	1.302748548	0.002996115
2'-deoxyinosine	1.341698516	3.70227E-07
2,3-diphosphoglycerate	0	1
2-aminoadipate	0.563364877	0.119562626
2-aminobutyrate	1.78199291	0.001732013
2-arachidonoylglycerophosphocholine	-1.45441857	0.000413779
2-arachidonoylglycerophosphoethanolamine	-0.768900791	0.033803536
2-deoxyribose	-2.480550941	1.17965E-06
2-docosahexaenoylglycerophosphocholine	-2.049667685	0.000290297
2-docosahexaenoylglycerophosphoethanolamine	0.050996107	0.815047739
2-eicosatrienoylglycerophosphocholine	-0.437067068	0.158865856
2-hydroxybutyrate 	0.559493881	0.07495868
2-hydroxyglutarate	1.682299249	0.031236499
2-hydroxyisobutyrate	0.769977981	0.014364405
2-hydroxypalmitate	-0.896627201	0.00291956
2-linoleoylglycerophosphocholine	-1.160019764	0.037880865
2-linoleoylglycerophosphoethanolamine	-0.097115568	0.644267713
2-methylbutyroylcarnitine	0.230053927	0.435708062
2-oleoylglycerol 	0.360194738	0.132664816
2-oleoylglycerophosphocholine	-0.007582579	0.98625081
2-oleoylglycerophosphoethanolamine	1.733879949	0.008617616
2-palmitoleoylglycerophosphocholine	0.433487163	0.341397365
2-palmitoylglycerol 	-0.361332525	0.380200768
2-palmitoylglycerophosphocholine	1.112832055	0.017217839
2-phosphoglycerate	-1.440406798	0.001576156
2-stearoylglycerophosphocholine	0.706427979	0.207230115
3-(4-hydroxyphenyl)lactate	-1.103277882	0.025315165
3-aminoisobutyrate	1.6472083	5.07091E-05
3-dehydrocarnitine	0.805399514	0.028323276
3-hydroxybutyrate 	0.64219106	0.415026906
3-methyl-2-oxovalerate	0	1
3-phosphoglycerate	-1.009287272	0.01616231
3-ureidopropionate	0.870446411	0.050628091
4-guanidinobutanoate	0.457094168	0.195107542
4-methyl-2-oxopentanoate	-0.007486774	0.971229351
5-aminovalerate	0.235669367	0.5182292
5-methyltetrahydrofolate 	0.382420557	0.051685806
5-methylthioadenosine 	2.223903851	1.04751E-07
5-methyluridine 	0.747554966	0.00036046
5-oxoproline	2.171776192	5.25552E-05
6-beta-hydroxylithocholate	-1.299148461	0.008952637
6-phosphogluconate	0.23436073	0.126981422
7-alpha-hydroxycholesterol	-0.19437738	0.460398853
7-beta-hydroxycholesterol	0.38000303	0.221237431
acetylcarnitine	4.462469366	3.35891E-08
acetylphosphate	-0.125849089	0.336553525
adenine	1.583187589	3.68838E-05
adenosine	-1.888409842	3.33908E-05
adenosine-2'-monophosphate 	-2.09612236	1.69404E-06
adenosine-3',5'-diphosphate	-3.157769854	2.07029E-06
adenosine-3'-monophosphate 	-1.046534754	0.002080563
adenosine-5'-monophosphate 	-1.919254227	0.000567039
adrenate	0.194579675	0.485218853
alanine	-0.476909044	0.000155031
allantoin	-1.310835595	1.87716E-07
allo-threonine	-0.50692319	0.219298636
alpha-hydroxyisovalerate	0.884247509	0.016634908
alpha-ketoglutarate	-0.789252476	0.023661394
alpha-tocopherol	-0.2527877	0.616867046
arabitol	0.135288855	0.577430338
arabonate	0.190249099	0.557509882
arachidate	0.106371284	0.780619732
arachidonate 	-0.279707141	0.061084497
arginine	0.789711196	0.001307166
ascorbate 	4.545225195	0.005498736
asparagine	1.475737251	0.003678289
aspartate	1.634562697	2.61682E-08
azelate 	-0.933794676	0.000447587
beta-alanine	-0.72145058	0.03097031
beta-hydroxypyruvate	-2.641825248	1.23207E-07
beta-muricholate	-3.763492116	0.002623018
beta-sitosterol	-0.06147502	0.82850394
betaine	-0.149467554	0.395911784
betaine-aldehyde	-1.915476399	0.000719039
biopterin	-1.227161606	0.000106583
C-glycosyltryptophan	0.786800252	9.43675E-07
campesterol	-0.279249516	0.393250545
caproate 	-1.574645143	0.010477577
carnitine	1.018920056	1.06111E-06
catechol-sulfate	-0.074008202	0.620795228
chenodeoxycholate	-2.382876348	0.001185183
cholate	-2.356330978	0.000470906
cholesterol	0.54313159	3.05866E-05
choline	-0.446957099	0.008613197
choline-phosphate	-1.320646171	9.18282E-07
cis-aconitate	0.986662728	0.011821005
citrate	1.455205406	0.006411006
citrulline	-1.096364782	0.001891699
corticosterone	0.826756826	0.056607523
creatine	0.729874872	6.14008E-06
cysteine	0.94332738	1.59122E-05
cysteine-glutathione-disulfide	-4.899475572	1.97305E-07
cytidine	2.778643936	6.80636E-07
cytidine-5'-diphosphocholine	1.009866078	0.000133373
cytidine-5'-monophosphate 	0.853503103	0.010852492
cytidine-5'-diphosphoethanolamine	1.60764721	0.000464902
cytosine	2.257353639	0.003847944
daidzein	-1.187953171	0.000423497
dehydroascorbate	1.007973703	0.007159392
deoxycarnitine	1.095384911	0.000608524
dihomo-linoleate 	1.013969423	5.90078E-05
dihomo-linolenate 	0.88654837	0.001705448
dihydrobiopterin	1.152593544	0.020868613
dihydroxyacetone-phosphate 	-1.024910329	0.266877266
dimethylarginine 	1.163620822	0.000919212
dimethylglycine	-1.8990358	4.27038E-05
docosahexaenoate 	-0.312196973	0.164844786
docosapentaenoate 	-1.902288568	0.003112604
docosatrienoate 	1.872110879	0.00027307
eicosapentaenoate 	-1.532101585	0.000167714
eicosenoate 	0.761613653	0.000592381
ergothioneine	-1.028595608	0.095818347
erythritol	-0.578242338	0.002480011
erythronate	0.748780541	0.000201925
erythrose	-1.182641367	0.000977816
ethanolamine	1.27906786	0.001137933
ethyl-palmitate	0.258470638	0.193122494
flavin-adenine-dinucleotide 	-1.797729451	4.04694E-06
fructose	-1.537712037	2.3913E-05
fructose-6-phosphate	2.247329868	0.021744359
fucose	0.428824743	0.216972923
fumarate	0.174082949	0.411953844
gamma-aminobutyrate	-1.253241049	0.00065265
gamma-glutamylalanine	0.818693254	0.174101408
gamma-glutamylglutamate	-2.090857524	3.53823E-07
gamma-glutamylglutamine	1.833057546	0.030338012
gamma-glutamylisoleucine	1.35976586	7.41385E-06
gamma-glutamylleucine	1.355497239	0.021587863
gamma-glutamylmethionine	0.401464658	0.126362109
gamma-glutamylphenylalanine	2.006306423	0.027761612
gamma-glutamylthreonine	0.642161912	0.258630905
gamma-glutamyltryptophan	-0.973619997	0.009196677
gamma-glutamyltyrosine	1.708801418	0.030982242
gamma-glutamylvaline	0.285386621	0.290047454
gluconate	0.829338318	0.052370985
glucose	-2.398940629	4.58693E-09
glucose-6-phosphate 	2.777487172	0.000385117
