chr,start,end,length,abs_summit,pileup,#NAME?,fold_enrichment,#NAME?,name
1,3547783,3548105,323,3547981,18,8.32158,4.28811,6.20366,SRR3729605_peak_1
1,3584723,3585740,1018,3585211,71,59.7334,13.4785,56.4701,SRR3729605_peak_2
1,3676088,3676405,318,3676279,13,5.14357,3.32692,3.18047,SRR3729605_peak_3
1,4584039,4584882,844,4584480,31,17.9983,6.46839,15.5489,SRR3729605_peak_4
1,4731743,4732508,766,4732154,43,33.5109,10.456,30.6921,SRR3729605_peak_5
1,4740770,4742433,1664,4741913,59,44.0923,10.7047,41.078,SRR3729605_peak_6
1,4742576,4742893,318,4742686,15,6.52433,3.80219,4.4845,SRR3729605_peak_7
1,4838615,4839753,1139,4839246,121,130.267,24.0219,126.244,SRR3729605_peak_8
1,4854179,4854796,618,4854494,19,9.58306,4.75274,7.40727,SRR3729605_peak_9
1,4854899,4856479,1581,4855732,146,155.649,24.5012,151.416,SRR3729605_peak_10
1,4871588,4872460,873,4872149,41,31.2449,9.98076,28.4737,SRR3729605_peak_11
1,4877429,4878093,665,4877809,74,72.0213,17.4854,68.5958,SRR3729605_peak_12
1,4878500,4879394,895,4878960,24,12.2403,5.1915,9.96819,SRR3729605_peak_13
1,4880010,4881146,1137,4880668,42,32.3729,10.2184,29.5777,SRR3729605_peak_14
1,4892634,4893175,542,4892877,16,7.2539,4.03983,5.17901,SRR3729605_peak_15
1,4899513,4899878,366,4899712,18,8.78445,4.51511,6.64278,SRR3729605_peak_16
1,4927278,4928827,1550,4927722,46,30.733,8.58695,27.9748,SRR3729605_peak_17
1,4961686,4962003,318,4961818,15,5.75511,3.41589,3.76363,SRR3729605_peak_18
1,5153049,5154024,976,5153338,35,17.4952,5.62991,15.0625,SRR3729605_peak_19
1,5328113,5328573,461,5328338,22,12.1002,5.46565,9.83173,SRR3729605_peak_20
1,6284108,6284947,840,6284588,55,42.4017,11.0264,39.4156,SRR3729605_peak_21
1,6285394,6285977,584,6285754,26,12.9388,5.18206,10.6468,SRR3729605_peak_22
1,6429191,6429647,457,6429349,16,6.02268,3.43633,4.0116,SRR3729605_peak_23
1,6580263,6581540,1278,6580718,38,25.79,8.32997,23.1397,SRR3729605_peak_24
1,7066253,7066848,596,7066546,20,10.4025,4.99038,8.19559,SRR3729605_peak_25
1,7158360,7161332,2973,7160197,94,101.299,22.5755,97.5492,SRR3729605_peak_26
1,7179472,7180159,688,7179859,23,12.9767,5.70329,10.6786,SRR3729605_peak_27
1,7191366,7191748,383,7191650,14,5.82037,3.56456,3.81847,SRR3729605_peak_28
1,7245049,7245414,366,7245132,16,6.02268,3.43633,4.0116,SRR3729605_peak_29
1,7467684,7468748,1065,7468091,96,104.256,23.0508,100.478,SRR3729605_peak_30
1,9615109,9616058,950,9615640,54,46.6277,13.07,43.5667,SRR3729605_peak_31
1,9617732,9619473,1742,9618418,95,89.8003,17.6633,86.1722,SRR3729605_peak_32
1,9619664,9620190,527,9619958,20,9.9044,4.75021,7.71904,SRR3729605_peak_33
1,9631718,9632191,474,9632008,18,8.78445,4.51511,6.64278,SRR3729605_peak_34
1,9634093,9635758,1666,9634401,29,15.1139,5.61603,12.7497,SRR3729605_peak_35
1,9654165,9655347,1183,9655086,33,17.4986,5.92689,15.0654,SRR3729605_peak_36
1,9691769,9692376,608,9692059,40,22.9842,6.83367,20.404,SRR3729605_peak_37
1,9700266,9702436,2171,9702023,84,79.9635,17.3785,76.4428,SRR3729605_peak_38
1,9708861,9709698,838,9709337,91,90.3122,19.1371,86.6785,SRR3729605_peak_39
1,9770845,9771552,708,9771161,33,22.6094,8.07966,20.0373,SRR3729605_peak_40
1,9788763,9789676,914,9788961,18,6.55738,3.47132,4.51647,SRR3729605_peak_41
1,9817468,9819363,1896,9818941,56,47.5534,12.8643,44.4784,SRR3729605_peak_42
1,9857472,9857951,480,9857759,23,12.4799,5.4682,10.2016,SRR3729605_peak_43
1,9867788,9868287,500,9868044,32,19.8005,7.04527,17.3007,SRR3729605_peak_44
1,9868842,9869284,443,9868975,15,6.41331,3.74544,4.3872,SRR3729605_peak_45
1,9869338,9869713,376,9869446,17,6.68776,3.63847,4.64177,SRR3729605_peak_46
1,9870027,9870594,568,9870321,36,21.8169,7.10134,19.2645,SRR3729605_peak_47
1,9892647,9893952,1306,9893106,33,22.6094,8.07966,20.0373,SRR3729605_peak_48
1,9917835,9919655,1821,9918771,89,93.1012,21.0064,89.4369,SRR3729605_peak_49
1,9920101,9920842,742,9920531,42,31.9223,10.0168,29.1395,SRR3729605_peak_50
1,9947000,9947317,318,9947184,17,5.75308,3.21293,3.76286,SRR3729605_peak_51
1,9976875,9977696,822,9977449,43,28.5066,8.35288,25.7975,SRR3729605_peak_52
1,9992006,9992361,356,9992215,15,6.52433,3.80219,4.4845,SRR3729605_peak_53
1,10010301,10010784,484,10010498,13,4.6609,3.07528,2.73165,SRR3729605_peak_54
1,10011135,10011598,464,10011389,17,8.00769,4.27747,5.89857,SRR3729605_peak_55
1,10012575,10014737,2163,10014184,177,206.608,31.029,201.944,SRR3729605_peak_56
1,10017688,10018481,794,10018053,33,22.6094,8.07966,20.0373,SRR3729605_peak_57
1,10036928,10037568,641,10037313,39,26.264,8.30639,23.605,SRR3729605_peak_58
1,10038037,10038896,860,10038479,26,15.2693,6.21093,12.9019,SRR3729605_peak_59
1,10039387,10039731,345,10039425,17,6.68776,3.63847,4.64177,SRR3729605_peak_60
1,10051983,10052623,641,10052145,25,10.7628,4.43071,8.54599,SRR3729605_peak_61
1,10053155,10053500,346,10053339,17,8.00769,4.27747,5.89857,SRR3729605_peak_62
1,10055500,10056458,959,10056069,26,13.2563,5.31631,10.9512,SRR3729605_peak_63
1,10058495,10059706,1212,10059339,52,44.1665,12.5948,41.1477,SRR3729605_peak_64
1,10107660,10108867,1208,10108169,33,19.7676,6.83449,17.2689,SRR3729605_peak_65
1,10110000,10110625,626,10110481,19,8.99447,4.4674,6.84624,SRR3729605_peak_66
1,10169442,10170040,599,10169726,22,11.2242,5.05225,8.99308,SRR3729605_peak_67
1,10213032,10213512,481,10213258,27,16.3818,6.5279,13.9808,SRR3729605_peak_68
1,10214074,10214942,869,10214739,24,12.7869,5.4369,10.4996,SRR3729605_peak_69
