chr,start,end,length,abs_summit,pileup,#NAME?,fold_enrichment,#NAME?,name
1,3051572,3052341,770,3051887,28,10.373,3.96321,7.71936,SRR3729606_peak_1
1,3055594,3056218,625,3055934,21,7.19313,3.44717,4.81395,SRR3729606_peak_2
1,3584838,3585919,1082,3585141,35,13.7925,4.40627,10.8729,SRR3729606_peak_3
1,3675753,3677147,1395,3675963,22,6.95017,3.26796,4.60279,SRR3729606_peak_4
1,4687586,4688028,443,4687698,22,7.59806,3.51404,5.1873,SRR3729606_peak_5
1,4731844,4732424,581,4732167,25,9.84275,4.07392,7.22448,SRR3729606_peak_6
1,4741649,4742052,404,4741746,28,7.35333,2.99597,4.96153,SRR3729606_peak_7
1,4838410,4840288,1879,4839073,50,30.6103,7.79199,26.7575,SRR3729606_peak_8
1,4855458,4856374,917,4855686,37,13.9005,4.25774,10.9762,SRR3729606_peak_9
1,4877515,4877974,460,4877741,32,15.0804,5.17075,12.0705,SRR3729606_peak_10
1,4878485,4879274,790,4878740,26,7.92487,3.30471,5.47595,SRR3729606_peak_11
1,4898702,4899073,372,4898846,22,6.08348,2.95145,3.82139,SRR3729606_peak_12
1,4899585,4900346,762,4899806,22,7.43969,3.45311,5.04035,SRR3729606_peak_13
1,4927293,4928111,819,4927637,37,15.5954,4.76102,12.5579,SRR3729606_peak_14
1,4928541,4929263,723,4928851,22,7.43969,3.45311,5.04035,SRR3729606_peak_15
1,5152981,5154188,1208,5153410,37,14.547,4.44572,11.5738,SRR3729606_peak_16
1,6284031,6284861,831,6284523,46,23.1904,6.03122,19.6982,SRR3729606_peak_17
1,6429065,6429456,392,6429300,26,8.40254,3.46474,5.91845,SRR3729606_peak_18
1,6580822,6581245,424,6581072,22,6.28748,3.02468,4.00797,SRR3729606_peak_19
1,7066143,7066673,531,7066337,25,9.84275,4.07392,7.22448,SRR3729606_peak_20
1,7158013,7159038,1026,7158779,43,24.5451,6.89433,20.9809,SRR3729606_peak_21
1,7159369,7160622,1254,7160270,51,32.1884,8.14785,28.2644,SRR3729606_peak_22
1,7170667,7171038,372,7170927,18,4.05094,2.43815,2.05028,SRR3729606_peak_23
1,7186529,7186907,379,7186617,21,6.61798,3.22299,4.29762,SRR3729606_peak_24
1,7207367,7208307,941,7208090,23,7.84032,3.51599,5.39735,SRR3729606_peak_25
1,7231683,7232054,372,7231808,20,5.02849,2.6948,2.89217,SRR3729606_peak_26
1,7467823,7468670,848,7468129,31,14.2904,5.01406,11.3331,SRR3729606_peak_27
1,8486994,8487778,785,8487243,31,11.958,4.20826,9.17926,SRR3729606_peak_28
1,9615448,9615864,417,9615628,24,9.15467,3.91724,6.59351,SRR3729606_peak_29
1,9617662,9619782,2121,9618689,30,9.6115,3.54844,7.01877,SRR3729606_peak_30
1,9634408,9634842,435,9634569,26,9.69065,3.91523,7.09321,SRR3729606_peak_31
